m1,m2,m3,m4,m5,m6,m7,m8,m9,k1,k2,k3,k4,k5,k6,k7,k8,k9,c1,c2,c3,c4,c5,c6,c7,c8,c9,wave_name,T_1,a_max,a_avg,drift_max,drift_avg
237536.9891886798,453141.0904941783,82401.7508848976,414914.3161199529,278804.71417991293,227226.23527555968,197748.54608121255,288851.2535296713,361170.96430928225,11154157.582803097,129687911.69042367,11243950.465577515,115067807.30810884,82195528.55686277,4369034.9077484235,14070836.979086248,83108946.04073544,40090402.785900295,1906668.2692049136,5489012.311193339,11177313.781759335,3274852.6780583975,12265247.494558118,6844748.923706873,595879.0005225791,6062142.985308976,8207633.016539473,RSN4228_NIIGATA_NIGH11EW,2.495473785469517,7.750448461678152,7.150064797083208,0.008190754564945633,0.00722705835569173
250221.1080641071,174994.47607058083,46005.838194011805,335450.51194994984,380345.92932962114,449736.30192111945,237052.24174241006,46451.852451507504,283727.4268222025,7416829.828147545,131626554.12908511,56221634.94931414,107859959.20784694,10297038.08268913,59250894.947192006,111941597.07519326,71774684.55685398,18590506.425154645,3158216.2515137917,4683512.858202722,402174.16100071615,18467091.382740565,3742454.839722414,14103358.538341017,9819448.86753376,549012.6613297614,1443149.0157541716,RSN15_KERN_TAF021,2.614528523333489,2.7182755973963753,2.040939845691216,0.003414558983579531,0.0026519491435543566
320344.9143290517,184611.02237557896,224571.89998513955,209216.0492317749,234902.17156380703,300922.1094403413,374525.74950208573,329377.0693460248,126258.96342344504,17566168.991990782,158928739.30558813,51011361.010516234,122033678.53232513,116514006.30974774,73204471.86279659,307492.7752975421,39931827.14797474,28795845.93252843,2841213.9387067063,15073418.76918091,8245599.11794716,12720752.73176855,27849.53543398787,16468338.382862277,7899291.231262456,6754714.097539649,4551038.458185639,RSN63_SFERN_FTR326,7.883360769001013,1.366025918106732,1.2291381120217242,0.0015727331586157108,0.0011540952425521612
148934.38920145476,181557.27387907336,276783.82649764564,279072.60881137557,194303.57452884153,169729.40282768485,189004.58129730332,75736.42360059188,457050.95029996167,10463064.824552096,154521914.06142175,176721784.50829646,157434453.24220687,74484613.07850122,12088850.0987921,39980318.627063304,12594728.007831244,8761559.467468528,2524522.924581721,321318.15524139267,14405135.526144806,14887435.118413826,9440368.127360612,16706097.051949475,10099045.42680328,4450120.542296862,10467873.316301743,RSN159_IMPVALL.H_H-AGR273,2.9470950704645205,4.4503826854037,3.119215040110881,0.009993892124756223,0.008704025588742536
262282.79973331507,67164.73084462927,59154.60110823002,172018.94320343094,421253.377893744,346296.54369631386,389904.99600944616,439533.6999629252,497361.70623460656,9494439.762925904,38207712.83069472,133748909.54633313,126377638.07831769,136116294.22604483,88806611.78018823,874981.4398686102,35506481.76005536,171590.90194082697,3189207.637039497,4420500.609410406,13160092.21912672,14229412.57842532,7638075.819021929,254461.60958241706,12170997.664725766,12093660.054366581,7360858.7268969705,RSN19_CTRCALIF_A-HCH181,11.94552483965747,0.6892871343547577,0.6176737150579265,0.0008340600240637175,0.0005723780654865553
294801.14292863273,439625.3962264959,72245.31566495087,456176.31467087904,158174.48412706712,362018.5438678342,250278.08483613536,437060.51329952705,238021.28481765473,2371279.475399472,171553416.01817247,67087784.135969974,101740659.14358503,21676883.091170307,94683598.75210029,468896.7909465951,66196523.296777174,32398916.14143386,4750572.677443524,19764625.848857027,8479743.134538794,15152687.539561601,17981787.284802135,15507322.37557224,14081852.22803582,3374895.9687828287,2862530.4146502777,RSN184_IMPVALL.H_H-EDA360,5.3285408462540405,6.432547734295942,5.5854972835895715,0.010670553616004521,0.008492741510200609
160778.98693543512,158653.69561852206,428905.6475902393,82008.96922394505,111376.6551344261,7985.03340810395,189051.43389502534,126873.22560941573,100449.63737160822,6411292.929947622,166878320.7053013,9503915.056133505,67375144.91899608,120787607.96827143,78714371.31371818,86992046.72699514,22455900.962479774,18190696.71949484,1297360.4688719788,9243523.618413841,10689751.550038233,3924233.445513035,3872680.6162924585,132252.8251302585,12942237.020543093,6718719.803074821,8490400.601606833,RSN90_SFERN_SBF132,2.801483826219831,0.48553898383995886,0.3147790331330851,0.0010497996102524394,0.0009506648050044441
116844.53311114067,356287.5055086102,304175.4637035377,464440.66486166196,269898.0602332297,77379.0733327396,380941.9440135508,375372.1893845996,95843.31547000786,217107.01730869405,207404098.45089075,152120379.6640028,10444744.64481001,163622606.26957905,27548670.480150986,61946272.30691269,14913498.94888282,8239930.314241728,413232.4007419684,7664448.230524009,11311815.924143901,11118700.929186137,12923592.363437517,9934055.6608605,4022337.9679016564,5436950.790049587,900375.0185106936,RSN75_SFERN_MA2220,5.5188997885249815,0.13139902591663855,0.11145648976901462,0.0002248117500273727,0.0002042715973778741
130939.09388880557,47844.139911966566,257199.8200044578,212448.44089179614,431003.1800958811,12855.31900707019,318990.9910196847,286188.87416859856,58205.72546856222,7453551.06578294,159536093.2723641,182071777.140638,30136652.32209616,94515181.40845945,147339844.49052757,102518570.09334269,12886199.492302354,32631500.523681376,3363611.2420404823,10281065.583404468,14553258.72523184,7908199.725466989,1144223.922501876,16356283.863110777,15155292.894442722,1972209.1730523726,7468603.87884702,RSN983_NORTHR_JGB292,2.4501282057237086,15.942828745174912,12.001487745922073,0.015921756074775886,0.012459520849375292
210663.76518337772,94631.17357496716,108773.55372918278,413925.7404443836,455210.27536671545,236169.80459570175,142914.81108468544,105441.22519754976,7113.933335841612,13430764.535959918,148789555.86996,39332162.55489587,14761565.396388646,113922653.94735895,68717990.04564041,54857960.73987034,66055478.93665718,9238997.726487739,5395744.524184899,10581807.341249945,5188278.774645738,7064562.279302191,4709231.316690235,4475481.485336941,10949608.57002379,5164154.779067878,5797858.6857718155,RSN8161_SIERRA.MEX_E12090,2.6198941959202267,7.098535888907963,5.03641474539266,0.009115041478253235,0.007525695395038009
