m1,m2,m3,m4,m5,m6,m7,m8,m9,k1,k2,k3,k4,k5,k6,k7,k8,k9,c1,c2,c3,c4,c5,c6,c7,c8,c9,wave_name,T_1,a_max,a_avg,drift_max,drift_avg
401847.7711469094,367797.0106508251,282891.805280444,348650.3144616213,481730.48513421556,85820.92180839695,270872.71110309445,490468.6293418163,395546.510908724,736657.9065393176,7739017.204409393,47364810.59130086,25622676.489077732,106680191.32732704,135230141.8199555,11969891.240002776,55761511.824320205,56469166.37579685,4052082.572744226,8836048.684340548,5990175.291271032,4290532.750726506,12272650.16341508,11107586.48990627,7732921.259950606,12336230.163949229,4863417.743811076,RSN6927_DARFIELD_LINCN23E,5.887424434911308,6.872806445234472,5.857986999000085,0.019168572231536087,0.011663243893573092
217039.1558727714,360696.01223701227,350339.2812714375,409355.0973160538,377027.7321683505,252155.75477153566,60763.32186847564,380290.0461890165,67143.57313222968,14720424.988702908,209506547.6428811,196968465.11371323,96890293.43406385,10029942.039144019,35645410.158379175,50817405.60469508,21443646.145073377,49887128.49823551,2622397.0173831168,16411985.052838294,10916714.808045171,16699098.225621372,17427604.237287633,15553776.934044464,15139734.396420669,6259401.626987808,4771764.8318397,RSN26_HOLLISTR_B-HCH181,2.6115547948659157,1.0681445597530554,0.9201408293250325,0.0016604197388899542,0.0013034805792778773
380823.47286629875,141039.41513323993,461919.0416827188,157115.7735098923,314674.2199541622,325763.9619547606,435286.4737979786,441510.0311265725,386110.9484802589,14697970.745955877,71693442.213935,164567991.61651158,90266815.0409541,127717121.74319455,53359782.98310419,66537377.494309425,62975668.26709861,15939128.044303766,424496.32998967404,20171751.662399888,16951381.129004106,7425918.759173745,8764432.076035388,6898967.417430374,5100249.080260875,9276067.507909924,6395422.662373633,RSN98_HOLLISTR_A-G01247,2.555721023076349,1.6247121249308156,1.3881654703418649,0.0002982704842207316,0.0002025687059889228
37430.88065919259,593.2107487219021,459060.0835774671,15369.92712781998,211877.76081052082,307710.61446693435,241047.9488065638,321152.10572400613,54686.4330371032,8040497.550194342,128405043.68932961,116543567.52796207,30989343.71702092,91136722.66831869,149526663.96017453,60988974.425928056,52627232.48555126,9078293.408918926,5812502.1794770425,13402286.341741689,8808574.170663305,8329153.715414094,8838654.012601467,1322299.8779474683,9644851.19784396,12681562.99486362,4598899.302483418,RSN10_IMPVALL.BG_C-ELC000,2.5161351527653912,0.4482469318751258,0.3631365048164354,0.0005589684317250234,0.0004843547197322953
437552.95572341693,264911.09089655767,292776.99182278797,315726.3973342634,438606.82324779616,347821.57376836124,47238.85928783,360084.6835789838,80177.42859471428,15864053.313496053,178593228.14221144,134568778.7005787,82869769.5467605,105208747.79723832,21373541.73646248,7879439.955683656,50355766.447136104,8666370.022359041,44191.9446760926,5287142.541542051,9981016.714044573,17771900.023890223,10201476.853879208,7267237.863136476,1348839.6224668915,10768696.134668771,6097964.326471033,RSN1004_NORTHR_SPV360,2.712350028080356,13.662417455605432,11.297410214959122,0.011480943770633906,0.008917162382244154
134210.89600937237,400183.5814144904,6285.213631916128,288929.3463185093,142766.55980411055,180439.38753742518,101191.48051648375,152992.6247865304,220886.1381623717,6674158.907240766,201656859.5521149,154516366.34654796,140421547.661244,86048240.4520449,8139618.500128048,6259274.258397158,58623649.86099472,54054607.40323131,3092349.186985073,6766896.263417456,15710518.292088807,5228034.911676151,5138920.772419141,2996870.1244280725,6976688.513245701,9425908.042830458,4233215.066447202,RSN88_SFERN_FSD262,2.3366283550693625,1.9120218021611723,1.69954876835357,0.001098515759390662,0.0009705382289488819
409922.4897536477,219804.82168231733,5174.04581185711,408427.6108542945,493191.2034198926,118930.26386237275,114637.50217250291,191642.99350896297,74138.93825217524,7656449.126278988,168649168.78950718,113196504.40194964,33013170.116811786,28022954.054979023,127102578.77298634,81760782.53164531,27849468.497747257,43265458.51225945,869887.8684982893,17794168.8810142,13554208.757226218,12809270.35389915,10817105.49245405,7418682.0528599555,13404775.954241961,9714377.14006029,3148428.269962953,RSN6959_DARFIELD_REHSS88E,2.8936309750667566,4.3488706106588655,3.584699658141805,0.004893119090911513,0.0042528312502901865
412199.90479910374,140976.12114054515,243155.04010348135,151341.16939969474,435215.22829326853,195927.45852070674,254882.60826323388,236057.2342180347,87842.47295655159,1939232.3612092133,74826837.16485615,198410288.96998912,21904095.002009552,7433436.877701586,138677394.84001508,11835020.179017542,41876119.11201498,39645373.88395285,2816150.8496455,10911844.942339526,6658394.282767747,16826259.554299213,15033388.87771961,8581945.018677682,7750164.780355522,1903877.1971283983,6368229.066917512,RSN1182_CHICHI_CHY006-W,4.114382183096026,6.734562912104164,4.961436525488763,0.014154391587439983,0.011981703601202945
21970.63651270443,60103.59061103191,331794.43604951235,288460.2662884747,212863.57038850337,410226.0923060213,66418.61417259979,147946.23567503938,195741.8140402607,17689159.798590932,13753860.89241077,558647.1548753827,36644198.51469546,115410446.43282792,7534892.957824593,42870331.31280536,32696456.560233958,262399.08561993064,4689750.951602372,14095233.821998302,12297078.66848243,4049528.528503854,11980963.080804091,16874856.487019952,11652185.518788526,10723761.81283485,5700158.920871995,RSN178_IMPVALL.H_H-E03230,6.135808756293886,2.652787118662413,2.268631289800014,0.003430676687587631,0.0029292693754402284
40664.17974769735,446856.4371209019,196916.92272465435,373327.59115389263,392732.0586250871,250711.9646644871,153763.2774675747,126850.17585975396,266669.4015564135,14155508.784614451,13458003.28459104,177145203.7276075,23033102.528728932,102115387.08657005,27462724.934221417,85444537.1429851,45415608.97906275,42649183.90223501,4894365.657769437,11469966.004875733,8979508.466464205,12570993.591944238,15264592.121767117,2800894.9753246736,9313057.783059215,6406840.702165354,3853573.205718523,RSN767_LOMAP_G03090,2.7429613067557175,5.91206338577687,4.886204175563629,0.012364914740739889,0.0092550261369565
