m1,m2,m3,m4,m5,m6,m7,m8,m9,k1,k2,k3,k4,k5,k6,k7,k8,k9,c1,c2,c3,c4,c5,c6,c7,c8,c9,wave_name,T_1,a_max,a_avg,drift_max,drift_avg
418704.4011834844,288311.8907751456,112753.0415686594,401844.2545191934,60651.838743702974,414436.4976170389,243408.9299103068,185805.43519430235,352322.7786740749,14330679.348471066,204972239.24284127,82158601.52278432,35778988.55066799,25592830.561491046,77773918.35110016,42616288.78037815,3920236.959069584,40669772.71510691,2920367.4264878673,11863226.633946821,12886108.384727722,1474756.171977501,15348529.24411475,995639.316525139,6649346.362557862,7415496.673786362,3143432.2393595935,RSN101_NCALIF.AG_D-CPM030,2.6819805645717305,1.4522217408641334,1.1765849601647123,0.00015810090221009325,0.00011567467629047279
420888.0935921643,448692.96383140085,450102.82515735977,248603.4297916553,428888.4355218294,61687.731202641684,68444.05384315705,107915.21942513154,400667.23795025406,6033514.968284406,27997784.925487336,21848148.589524698,126118841.68985774,47395649.517814666,9294896.155616095,16135129.973301698,42578005.72172822,43339713.544795856,5975028.635216817,16365084.23471181,8980273.70531985,6022125.83913384,4364229.347469054,2516729.845368071,10425491.03180672,7698695.775634656,4868124.618326134,RSN82_SFERN_PHN180,3.0638668639676787,0.6233406589054938,0.42767657529182623,0.0018803740633673433,0.001659174023357225
191958.10153076606,226036.61365831934,450661.53268727113,314412.2997202729,315223.46284945874,284855.5192259871,442659.3189095635,84146.60772176334,165080.77286084002,9627058.337204399,31140086.955968738,147832981.4243057,55135692.650180966,73495696.3745134,26203712.559431717,101331388.40218778,79998851.96236388,24231750.74328961,1234342.3477827765,14366674.399626512,16110412.289423142,16654633.85804038,6772868.208777315,6736844.693119852,6117444.6035479065,6766680.738713518,6734247.801171637,RSN3_HUMBOLT_FRN315,2.4910770411595164,0.6583076958253677,0.5680377732010707,0.0007159087513347759,0.0005244281067623012
396250.15162569255,402149.01191433345,126766.67624477472,419199.2765391279,450396.700931288,372999.7379462746,436480.84562149027,344637.45826830977,345709.5851130194,10977911.49758515,195344284.0759123,18091160.39888756,164960612.0902434,72545017.61891717,130473569.1460745,40428510.18769196,40663486.44646196,22581155.866458908,5368498.24592054,16997964.059982214,16111518.994205695,2665699.3211858342,11744181.745891668,5807474.636363511,10979117.890038284,4310913.70334058,1142127.8407051312,RSN170_IMPVALL.H_H-ECC092,2.694667798307002,4.304576803799455,2.7206102662434493,0.010227512457126733,0.008735288589090716
446947.2348542635,31021.817754541284,77195.62583175184,416581.8043857171,390595.4680316016,19590.552524651142,184528.7501018453,385343.5674907233,515084.8679282939,43010.82656902834,95466704.67100494,195128895.97268724,159414331.97739458,140191612.84271514,147227975.8718552,114278126.90233766,81174576.71615666,56233826.64976751,4231569.199617063,1686986.316339752,306979.98963313235,4024063.2600350743,10537266.065017117,15778428.615349812,7384519.790198519,8978090.80981888,4627776.979258011,RSN316_WESMORL_PTS315,23.746583311585162,2.6805551748743,2.0557876770042025,0.005804915606430637,0.005093432217235343
150111.3193520476,387037.7934389594,162056.09829507867,114620.64832822878,182409.27785759408,114124.36797320658,68764.96129172281,455698.8365132957,128557.2757774735,15369824.110727105,99993688.53434347,160395011.03189677,172234742.8774563,37742759.38052765,96122122.78206934,92795729.313164,47498720.97080507,12336764.900703669,1892770.1078912518,8910905.035026697,10506512.969561568,17376016.727674235,5341514.621285399,6268799.06569809,12038311.882716073,52297.46790544453,10896484.348023385,RSN39_BORREGO_A-PAS180,2.5752658469709475,0.21114525167902332,0.13443164183835576,0.0005233772898293833,0.0004502962942958723
477379.00623312837,484334.35510601103,364896.36831689044,380961.667697655,145133.24072308233,135962.6255093204,181427.03139990603,184055.67885322936,229779.164852028,7392452.141345378,28364048.14105568,110648486.32408193,168419329.09448692,78306497.13684854,34290012.805205464,60089319.34685293,20990175.62405289,717258.020261881,698684.9353475692,6819336.894440924,14196368.686903782,6119908.954072325,15238630.977983808,11890263.258544734,6083368.026216106,11995462.735801486,4350858.941525612,RSN3_HUMBOLT_FRN315,4.260945375054349,0.6201224063980204,0.5421195209268443,0.000713288589606708,0.0005109653660738369
134136.4121406255,2058.501734208344,346092.0285471713,265005.66937432723,208383.5852585536,331854.59223137057,481232.78248862503,65127.41795569485,174574.75401080912,4342411.86317806,65544733.033001244,133597621.22575894,153048354.91927963,39823494.24901322,42875578.77887191,68198113.9360162,42178851.86381532,23894778.52458548,2117579.67890591,1478895.7561496424,17084720.304783486,16156113.558585363,15054992.70225476,14192755.231652364,11710987.50546299,11819938.495940762,2038574.5549701545,RSN8161_SIERRA.MEX_E12090,2.6116108840287997,7.052015074130711,4.993316397556409,0.008629011013594656,0.006978641023790806
397318.52179106144,152585.59304440627,153596.93180731675,81597.22989791691,394668.2008803728,64599.36427167912,371757.767682199,441530.5188940065,454427.28370222956,10609768.20778369,196201589.53354776,82468433.67920259,117241746.6013182,45683992.66774758,140333363.93915388,85624389.19034034,25774201.952162914,49152285.55423928,2384897.5372148976,9853843.079625085,859892.9330501392,17686359.59076499,2714115.1886644177,11257591.821971871,464703.0882954311,8093801.55572602,2412166.4101670007,RSN83_SFERN_PUD325,2.7104705102994706,0.7516519545003302,0.6812765410515984,0.0007592287354782869,0.0005028710391897955
401669.6596045299,43659.99801653594,336880.93214785797,139880.10366718465,224214.88203322422,358401.19401642156,285822.5012915782,47614.675683840775,428688.49073603936,9289446.212878082,74920411.54681584,1656601.6031579953,36806565.58350476,81980957.31254648,39263863.65266855,109954535.9987606,79726706.06980999,7104084.099685204,2246760.8827794525,3832579.2183545553,2061863.2860969754,11911363.368844854,6453524.7950329,15846782.500771333,2174445.0145967207,2728840.302916367,6763865.822895825,RSN19_CTRCALIF_A-HCH271,3.745772148582892,0.8455841891961562,0.640799065630161,0.0007835533336950035,0.0005346138391653947
