m1,m2,m3,m4,m5,m6,m7,m8,m9,k1,k2,k3,k4,k5,k6,k7,k8,k9,c1,c2,c3,c4,c5,c6,c7,c8,c9,wave_name,T_1,a_max,a_avg,drift_max,drift_avg
205398.49231493776,404654.60100294516,404608.3191754454,16783.86788809509,67121.00555515238,458743.8793987751,287832.5296507313,48442.411815201034,338006.9052708166,5639501.592905847,142847659.83563927,181808404.71572956,138103463.0207677,150523400.02900866,68282973.18770075,55449711.66443156,59900561.649342395,55163168.36635094,3902728.092047196,13218984.992584098,17967973.781686038,1877585.0706696757,17917051.656895455,15013137.560347676,8800977.187247707,352315.0760633054,10717571.8119349,RSN6897_DARFIELD_DSLCN63E,2.544887101131991,3.355630532265974,2.9152094012377363,0.00568975889421203,0.0050190295351213365
401220.86809006246,361237.8045188019,131475.01706464074,46596.41938518477,317409.6683286761,268039.2044829235,234351.0933572864,364437.111135152,382213.0847904745,6827385.635526961,47526710.94748037,183035106.907548,18534410.768834542,57989106.86650518,18788900.21724057,18419008.632283848,20636852.00598304,32268947.82244228,2136221.9437689427,4264003.610088313,4817389.690719029,13197324.538472068,4846011.1337347925,16254447.857432744,2815510.11477078,2239190.813244587,4373110.6457484085,RSN1485_CHICHI_TCU045-E,2.9216885750348602,7.250352238500494,5.661193171470278,0.00668827226787394,0.004878440498841612
497187.34339948447,479945.09090474434,67931.43650706795,439194.27942473773,489493.416792035,316042.6291565514,331227.9222344162,462704.54399925296,80628.79015827473,3429211.740119356,155927176.55014375,106392841.19335347,108205367.5999168,4009299.246628056,116083672.27019517,89989858.60700347,44201642.88314602,22209704.484246198,3931346.877611369,16034514.461388784,2998010.733231594,7763607.915295519,2205089.632612977,2134024.7922604564,5665061.620475413,7854677.515213708,2040563.9724710553,RSN40_BORREGO_A-SON033,3.799918313460194,0.543408343692519,0.4501309890811279,0.0007286537763558038,0.0006445487247300169
497470.2938133091,314589.201090376,206161.08986378755,149101.72048118597,422674.56841007853,49515.46565122255,206039.76798630238,205095.36167239584,80548.31981982397,10167770.785565186,184705323.6143464,171970705.50234824,167382024.6825113,65086438.53256512,8809469.824873317,23950256.363594513,51323279.81031382,5045882.771875875,1348654.1664048242,14266555.212914232,8765828.939324036,8240653.727650413,3122784.062023833,4176799.030231374,5558538.035371322,6563846.432744578,5542211.7462235745,RSN49_LYTLECR_SAD003,3.0488238438391204,0.591377547068387,0.5183053575779597,0.00014806877179806993,0.00012282987317246538
316241.2783054263,175122.2963741952,273869.4398192233,133716.2572719134,196.85659973501006,348245.6935004929,363610.6366712315,50151.682232884305,470700.823300563,16596585.287970582,133022036.3491327,53740093.17786829,2553253.737770189,115816025.6404707,58900365.970253125,75715571.94677904,6456430.714373497,27576832.482384186,3092532.6616517464,20183976.74049496,4505831.7487184405,1112842.7648230507,10841326.22868249,2703096.179489241,5911729.3392074285,5230544.288637769,4046117.630372988,RSN18_IMPVALL.BG_G-ELC090,2.6888664745691786,0.7871351685820189,0.6075420053329131,0.0011844189408709777,0.0008849185376865224
477326.8228105233,468739.27203980007,359344.3548784487,182347.63816077146,97851.3675032441,194256.3833754071,196655.05578756772,276937.866799496,373063.21072421497,548329.3853669986,85584273.90180261,7288554.029057682,96763158.11189836,47704553.34679355,10315881.758660499,41138186.291017644,11697326.955055088,23320543.526694153,2210588.1252268003,744962.8861067916,522135.4001799446,2614413.3133590836,10568178.395790482,181472.345449068,5880479.669332088,9819073.098467724,2454483.7443956994,RSN1602_DUZCE_BOL000,7.288333753191811,9.71708228530782,7.575379431348464,0.013365837791290362,0.010407153022241012
237514.78925888415,124883.4530905321,478703.8854439676,309346.57556892297,486238.6063124801,137451.1564391158,416889.98471218336,333222.2114362907,414215.2646366519,6609838.662235289,120113429.76018937,60608410.99681174,130014604.32707748,84090791.40575844,51881448.44740042,33908486.410235636,3223776.6693360293,2663772.6245744973,1984445.12248324,13054280.837832555,8820007.392047714,6987175.539543279,9957243.42885992,7229491.709131451,10271056.727855112,2592157.296941664,8438501.846995078,RSN1054_NORTHR_PAR--T,3.5976038876280807,6.169727995440496,4.325991028869426,0.011926538244651678,0.010501227971208815
91716.73360227089,210210.6424044519,300684.1407894566,319930.5034628987,476650.8440313687,380797.99421912903,237766.91573016145,252533.6174046489,92864.7678166342,10013207.738427818,123530818.33488604,137061268.46156776,77489623.41185421,54662826.77085615,137717434.74173033,103814757.04038525,74608543.20234151,18703949.71216784,3268560.1019543353,19694739.22938748,6338241.398703986,5400747.008051134,18043005.399001565,11192718.7347187,11124185.15838849,10885219.424861245,11071255.450036064,RSN48_LYTLECR_PUD325,2.6080951085962676,0.20596939491367272,0.17856298183427854,0.00017095922873740197,0.00014237654166372296
121366.75325931302,57633.189367249695,249802.69638821945,164824.92024268833,163849.62624472988,165318.1844730577,162297.3371713614,181101.3802631254,400889.16136660165,15979886.708664918,155226472.25652978,162763824.09438705,115175962.98858319,29043812.81184324,45168781.03032881,77449670.63693188,45749372.0039867,48353895.68457222,2156546.1011980926,9647375.833112204,9973777.62957051,13762774.924194532,2763350.334127821,7990517.295027762,3318512.8941572085,4647878.41298408,9306407.01579257,RSN23_SANFRAN_GGP010,2.4233041064687937,1.0399722729288237,0.8796446406526699,0.00024694914605100115,0.0001907058225073666
179337.58139290713,338653.8017435284,417698.60828210885,102084.6397812219,75682.06971760353,169384.9850641771,321429.25463461975,254234.02022733644,461159.8545426368,9273984.138469674,84356927.57416362,61769743.21556094,51861471.051876284,5597692.257550024,43424042.399699375,91048952.70326872,65787349.99141095,2423481.283368554,2121076.3633986637,11293297.50442711,3653634.1073952126,6010403.377714422,4994112.744965928,4647018.265562654,12174511.340694798,10265295.416766766,8477256.034126427,RSN66_SFERN_H05225,3.900371092127512,0.6408487504724496,0.5144923394879577,0.0004506343481004205,0.0003382246935146733
287638.57737218874,254001.4895371627,313247.2922943444,380545.4279824107,412004.8595289218,318804.78576831764,11617.682686696608,358984.70153414254,229285.5237085693,6524950.66908132,191905409.50022602,71175523.58623438,144254660.78844544,70811631.61300929,133888872.87767348,63235350.787322685,41191368.81927084,20104071.414196566,104885.15575847958,9021957.978890141,9204584.142656581,361178.1571335139,15736064.646352114,16448387.702539388,11300622.030157931,5782458.1719346205,6681191.816270876,RSN32_PARKF_SLO234,2.498300632016666,0.1446385192327461,0.12913272342943555,0.0001389088677543604,0.00012538934289047556
230755.38975995866,66867.86627319222,324599.41157410544,10125.023258728008,305101.9257281573,461715.5577833885,45292.551647246044,239416.21076810424,187201.29326672378,17414368.61344075,109043882.4629507,100578047.75476453,95130755.87363136,110365305.93079725,55029504.138844475,104066562.71556099,17702279.73501421,45533161.60789077,5005683.540960979,17472343.982898857,10045043.711873924,337238.7339517111,7532285.687058129,10748886.245683108,14506069.268969323,10613936.71149622,2036695.5654737528,RSN82_SFERN_PHN270,2.5676761543466236,0.6581652348682635,0.38791773346982866,0.0015103242362894274,0.0012908898585276285
244643.66511823697,39549.43522847979,303225.0373838105,46535.89808122983,12042.564467500531,47554.83613949072,32807.93953755249,232315.58555253266,379616.4409035988,3384908.820590645,40864577.9413855,166501605.49368814,10348194.436233604,93939461.43446644,61503773.85249193,98513525.21247733,11223620.482580665,31107501.859548688,2751460.0767574827,99775.38917377248,9839165.371437918,297914.45167150436,6512886.306832577,9987257.784464639,7890067.747635995,7009223.674681114,4722455.431633336,RSN2734_CHICHI.04_CHY074E,2.677012084896109,5.015825736420058,4.106480648643363,0.009388399822768052,0.007208786477578066
483218.0245378033,286474.15949180606,77360.80718225986,235336.385429719,223801.1442920283,310165.8493729804,418408.7821503269,271804.25939855364,90852.91422953222,14748106.290793533,158873929.82966647,196704856.24847883,84580911.68878156,127000363.24855505,122084795.00515118,110069520.51496889,55620366.39001074,16306344.613501372,2060019.3970940604,13161497.642889164,137067.36540044894,6323315.6676732935,14096246.181560498,4796939.702981012,8746763.009957075,11322665.405927984,10853062.25846998,RSN1045_NORTHR_WPI316,2.870785868264282,5.110438943706457,3.4901119260147055,0.018875687338214125,0.012846859502670577
51133.3245191682,409079.92344128154,114422.89790816024,344716.0319038686,371990.5207572574,393200.0100116205,244586.07737907203,464876.052496461,156327.70707160342,16524700.758120159,104401152.59582758,28341014.981903292,6044110.821912751,72935115.46505094,6244738.799476233,96128923.81123367,54366380.51426846,51176964.186140664,2380327.1254552733,14195108.586833254,6178105.929440078,8206945.988868938,4485647.003328432,1357008.3525471971,11615742.976673068,5140828.5825624075,4283897.381658064,RSN6960_DARFIELD_RHSCS04W,2.8679656605641144,4.120995703042465,3.3873111959521967,0.010061041302205179,0.008012703445643372
313923.974281416,276935.0484401288,115129.73076768313,346140.69828344724,307320.4060361522,184091.94664379084,21920.19094488276,446809.95526515134,304469.9259601565,13615045.436789384,176311785.7565719,114828468.98167391,1497139.420249079,8089718.292143583,1316583.039514636,17952871.233547438,49423210.55071946,14738856.028442144,2053367.154694469,13273341.385071883,17033331.87965734,14446580.382137664,7669184.487582303,16858998.754438315,7203263.082721491,3470448.7899846965,2879723.9105221946,RSN1510_CHICHI_TCU075-N,3.9327624624444883,3.411385603928132,2.681211970747024,0.00519584243590892,0.004738332952121673
238665.18759410808,486329.1647865084,332399.48509114183,403417.5583292418,122633.89824298794,358409.1579800961,302903.7185771905,456652.65749500104,46143.8778669758,5315405.436417094,34708441.774975084,172651113.7024215,149971611.86829662,93713460.47499898,75501075.01064742,27809917.508602537,52219357.01791429,6916798.018903109,5505009.729890235,15057186.936927399,11105782.16861667,18187353.01808974,607878.214488773,2203012.6298347632,1613791.4678453535,11480631.2286433,5835294.578319943,RSN36_BORREGO_A-ELC180,2.6747781769757846,2.8745390487121054,2.185827246583218,0.0065559277736976455,0.00585844948805972
