m1,m2,m3,m4,m5,m6,m7,m8,m9,k1,k2,k3,k4,k5,k6,k7,k8,k9,c1,c2,c3,c4,c5,c6,c7,c8,c9,wave_name,T_1,a_max,a_avg,drift_max,drift_avg
153248.36682733294,321404.61672340933,209457.87849534352,275473.4582239414,3976.916663363727,314545.4275740478,255927.88379109828,93703.98656517797,124361.58335791138,2518261.664024571,74709310.89896286,82489067.61522265,62507688.45722173,86284688.53928988,16102569.232501216,106489786.07967407,66427291.970573284,37558655.79587716,1278584.4364702094,7845075.56433772,7333551.012711218,4334712.854627846,8427668.80726972,1368038.7768723133,11647991.94719907,2020496.5261365958,6505313.178900595,RSN78_SFERN_PDL120,2.312326657117378,2.391307648155676,1.7269918199804077,0.004352221760804156,0.003929977317229378
325745.2749596013,210739.44981461283,488179.82822468725,359285.0502388715,225722.41030500393,275952.16266129445,35139.3955825647,229234.89936901804,425146.0011131886,15243016.286793828,146851442.4454576,130344294.29904322,133390420.77964124,65484936.58272614,58290998.57994412,2998636.00590792,83393022.19907829,37685350.8210829,3682622.2957228967,4973827.307183183,639612.7558774346,6799618.606865462,6785862.012662654,11188472.357586605,683946.439576264,9581371.488857724,9974240.887805387,RSN2_HELENA.B_B-FEB000,2.5902649552757384,0.517476106203408,0.47353152873711873,3.980136231675459e-05,3.2465132614670745e-05
362825.2573215659,23436.005636616195,290113.9675896528,434552.0104809852,277796.4915583854,270745.2048801493,267124.9305158818,407944.1531780517,414882.1875952518,1065726.1442039695,18712275.550071556,19294232.654748186,46140006.2713181,84923409.1816501,110323700.04523116,116778475.81725739,22291455.43623392,7873519.258941763,4205615.493944371,7170229.794848598,8193884.13456949,17906401.413793296,148889.4655160506,9781707.948263284,5818654.983276848,5188250.821691064,4502476.816633396,RSN4107_PARK2004_COW360,4.809580469454519,12.236796253019683,8.940562003053774,0.013101002488037736,0.01145624318654747
421584.8580488834,28369.397773266373,73212.66314607541,323200.1246997067,354899.33427696,317449.90278750967,383266.1415714776,38712.74386072488,287735.8134468473,14355385.105013238,203945000.54949874,101485612.53637056,127811308.23329845,163405344.84899193,123605358.61959015,108317245.82842225,73358308.0314256,43949273.20997193,4699054.061778623,17884603.400983892,16650879.792905103,5465815.884436771,16941716.466598283,10936360.072215574,6309826.445282547,12750641.108149081,2181927.233803761,RSN4451_MONTENE.GRO_BSO000,2.690512177570653,8.014627606707945,4.59444704176121,0.009511833474231707,0.008322093908000865
391789.7115961136,371052.09072116186,153880.80596432404,45077.59572144372,237529.86090497722,341280.67268724,477839.4558190536,461384.5482897885,287455.7261263117,1567055.236576929,182423208.35507637,131138546.15012737,131936083.38973041,9584962.559812175,111993101.39482597,62258549.76583636,13850697.047738863,45028067.08096615,4955447.210872009,4374662.320377858,7833955.365250562,10152430.046691827,5774832.400400993,8830418.392467815,3360643.091927287,7978368.776179396,3000153.238512646,RSN4451_MONTENE.GRO_BSO090,4.3203531998513345,6.610855111722137,5.399188721118907,0.018356239199467595,0.013951898176131251
202376.78462837895,279130.6775522017,219765.25474347224,232297.22754155588,380011.2046807005,449411.92083348596,349980.70912096207,195641.95841976974,441556.70751608995,16098462.499259658,42385048.77970386,93540589.95438519,21298006.63046153,143919221.52283302,3147653.147487528,68994927.25258388,52431725.12802055,22113632.490347177,1816009.2217088921,12515274.624259876,2737035.0200034245,12384082.462544784,16250196.271721315,16788821.490144864,1322781.5046782494,3504150.1202132143,1447603.6773779294,RSN1529_CHICHI_TCU102-E,3.565753287099318,5.1051466342082925,3.825190687062295,0.025814432180711968,0.01789945201207998
294877.39653798763,58866.23096809802,205046.12349117227,470642.5466908634,234881.671720797,363665.63631728163,267747.69703416957,363544.4694088088,121535.92611109086,11798398.452631714,171745245.58190605,50329682.40560076,163004778.88972145,58481824.299154885,133301865.96027413,93236073.26025623,62313901.03530403,18708979.146977812,4682681.303540278,6725935.184461753,9404350.692477662,17503094.030618716,3330202.1382011045,2379051.386232911,10190439.771903954,6451748.930274735,1075449.614591881,RSN11_NWCALIF.AB_B-FRN224,2.53922673620699,1.2915588197930332,1.075164564499876,0.0009398602559476001,0.0006817913302336028
207227.6422732648,122410.83813141072,135521.28615357785,46855.62558904423,180555.7396947754,453032.93221695436,178125.2834718523,461816.73396558716,261185.7747501144,3070834.497244383,41827772.593540676,35100072.92470691,2082225.9002563842,98362075.54952776,104321465.5736007,20695536.19640428,64230939.8328442,17074865.88002988,590769.8182294593,2763966.646169226,13016112.474277638,18433140.851679478,13634123.528418358,1310682.760131103,812105.4410801738,11655878.436434705,4420154.173849082,RSN74_SFERN_MA1130,2.5703470043935726,0.2016281775857891,0.12426673712059616,0.0004380578619161544,0.0003952528813603517
275647.8496700492,44595.72011246383,107256.95961811878,316407.125202731,105580.57972925155,234392.15251000223,446959.4202904011,22911.814702669206,70615.18855604784,4737600.3751292955,53529644.98405728,130473520.06759149,155852040.42112076,125737592.96920463,124834775.11007851,103882650.61839648,34690990.2153324,31095893.283181053,4062721.0077111754,16239127.15046794,10070662.822057985,10907403.191726593,13942700.33727483,115640.20854746536,2683361.5189925795,2204061.6211444554,264269.7531182514,RSN6927_DARFIELD_LINCN23E,2.6132175816138554,6.9064018021337015,5.956886906751055,0.01730902147941915,0.01198973636215485
359717.1023781758,158747.18131507543,438927.2295196263,261826.7039777204,431244.4094950475,36901.11324300102,317586.31856303563,450408.7618701268,210164.04731905015,2190849.2457029466,8616538.676600194,137879160.7829798,120001144.28103274,110342856.56527562,121395666.27870658,103161830.73273103,44627146.48998928,21416449.8189998,765902.154740725,2484387.309171436,9276181.97711914,7916589.800139854,17259087.837709896,6114346.899694712,600728.9475709243,11371585.49544929,2344088.0458877115,RSN92_SFERN_WRP180,3.6920140013729683,0.3432552178981747,0.30738149379435825,0.0002256056637578173,0.00020551986065532265
61882.12722405325,346520.35257395846,175566.0481196094,409695.13209984463,238079.3360527254,277019.3967789616,320337.5430979639,186025.53566668378,426067.5869130186,8091128.21437012,191055200.4664009,11590413.554613577,159919238.33357698,31609777.56066929,129711554.46580438,24368679.21509317,33943871.91412281,15749744.881420923,1792066.024653329,17044266.64497385,12287982.63055056,7733328.11238861,2003336.6366354977,6044518.648894774,4074321.1477571223,9326654.311359975,9810971.589302402,RSN2114_DENALI_PS10-047,2.662578940703816,7.0827151480973685,5.245368177665395,0.025927955211952354,0.017547557283635145
125731.14538755469,468630.78271334636,436201.2948974069,281345.2969485234,13708.922729162114,477632.00070623675,165294.78743978456,92027.71843697088,193212.68822946795,13752424.2482233,77613314.6455717,16536919.851763805,128760811.303997,51244708.184663996,77885083.91095732,31279452.333656475,72573611.6491531,13166782.69064384,1076749.3741620302,6545729.000966676,15687878.60230588,8638096.457358917,3645102.8660758967,14789674.882194763,14195025.44318747,1505795.3992566622,5220067.256096063,RSN45_LYTLECR_DCF090,2.6596577722478134,1.968937161166012,1.6767369085223534,0.0003772631204429297,0.0003031832126408503
123631.09801787973,485531.2428552234,454132.2581362698,281084.4158145306,113770.5684073455,333883.97483255784,317872.85266825557,455818.1561321166,136649.14342493375,5482586.319196436,149440404.76848638,133633625.71769936,162566739.83532003,159937726.48547432,72699173.34025621,96504189.8614083,27812600.838192254,42091365.35380663,230563.28577321398,19249165.905556045,2934430.604644424,11526844.208898371,8285606.742629305,7946235.684824663,5210094.705288165,649155.6441344843,9556009.953443436,RSN89_SFERN_TEH180,2.6366508598888947,0.2958605121193725,0.2632914738706373,0.0001514405290417594,0.0001413618125267899
