m1,m2,m3,m4,m5,m6,m7,m8,m9,k1,k2,k3,k4,k5,k6,k7,k8,k9,c1,c2,c3,c4,c5,c6,c7,c8,c9,wave_name,T_1,a_max,a_avg,drift_max,drift_avg
483942.17928361514,471804.94569890207,305298.32291150745,311182.3070208317,129653.32883601035,176962.70741144105,168663.82352281365,258706.12749631843,207715.90378202868,1628857.264999299,82300801.48307358,157369503.05332577,103112885.03316769,63420201.47788415,103731571.4332989,31145205.505529482,68882582.34840687,18046510.503984764,3462719.898433283,11141034.11538166,2704025.2305654027,5366289.694525886,16063289.334522724,15206632.981919235,5665918.7214311445,7492403.623882482,356410.5144745051,RSN41_LYTLECR_ORR291,4.735526780427221,0.3487917279080357,0.28351149977525403,0.00024553419768200753,0.00018176396433591176
61208.73284197129,36725.660658731416,91968.51803288599,177944.42966941162,410268.220268849,463734.63969807274,327426.76920662296,385020.48940473935,446022.8311959707,13733021.56596189,46006682.613521084,20835600.87163861,125237074.34647417,90722010.92140956,135974064.293841,106464256.96859914,6957623.277585561,46846688.643294856,1059651.1234930465,1855203.5777985537,5556651.030044323,10769710.283390146,15632817.23841333,1856090.7796575022,13061375.191826392,7812648.066863557,6628127.97307935,RSN43_LYTLECR_CSM185,2.79557714100972,0.4989819339213195,0.45576650444125355,6.952996006327244e-05,4.8877356064477293e-05
381727.9555589532,462660.56279587565,131741.1436322199,367753.8588772397,130707.65555897103,91357.61773616735,446982.3080808037,213112.5271610521,203685.4826457122,10950054.448630253,11609073.50027091,11399759.706359366,90113143.36208048,146245317.39231867,122460937.47559275,30477089.344086245,72671111.12576097,17018561.902056642,4417645.169724291,951448.0943894935,16043257.325864492,13791443.764006753,2813752.327947371,2304105.7904740814,13476802.688696582,9214730.6812949,10687933.5239822,RSN8_NCALIF.FH_F-FRN225,2.8364425324640448,1.6707369102421805,1.2556645726249394,0.0009295611884263603,0.0006858007522858232
171623.91010137316,156309.86547947078,207885.9505971794,336765.8713772031,381747.4320267298,454260.13992379373,216561.78096488366,165419.4583513562,336321.8469324398,12453737.343325332,12277906.370555593,191007992.29662406,83360599.47075714,105467162.53944464,123545538.78178896,26867081.47694557,30464595.5884343,1942340.6463218338,94514.11309855935,19180646.536468375,11710300.84084659,27190.96124178507,9350321.411915623,16537172.675568018,13743238.96722687,8357682.338728564,10610112.368270293,RSN6959_DARFIELD_REHSS88E,3.5647616627422605,4.574978704611072,3.683065668915612,0.005158277695520816,0.004506953217344471
428901.32336384244,238691.07584823747,315598.1046544686,383411.45592648373,368591.85255372385,119556.8824116141,361851.7458694625,224186.65014781125,84100.558625128,4233384.7653461695,88388702.53215359,125123382.54953283,88446889.65928918,73517967.25418462,137484017.6015523,39493985.4949449,58298714.796438664,23332611.745982297,3092152.142826195,10783780.671128163,12947036.091702942,2595481.8728191964,14852514.29975764,13957145.084364302,9271230.303331114,4290414.063844745,6346258.052030208,RSN4458_MONTENE.GRO_ULO090,3.3443111749315624,4.734067508260006,3.350666516589527,0.012207858332522773,0.009206144749104264
131102.07860562278,415481.5009825031,348983.0842416869,133690.85091153262,201913.89252225717,226420.56563005195,364419.72580676794,362769.4771295094,173494.7237661863,10474013.30079212,20906119.921255086,168440023.93339628,154140197.88480973,70372582.61139867,31837376.938636288,91252421.99044034,8213060.156667855,6565420.478671323,5818637.861600981,1383444.5593919153,3714663.60524371,9683347.748711104,4256070.840262727,8145961.924102171,1482570.6966802268,9807727.697515914,8092123.180526271,RSN25_NCALIF.AG_B-FRN224,2.644225737475034,0.9239737518178684,0.7803897337165027,0.000695183723715586,0.0006282386246586442
199888.73544278296,330683.6430588511,28719.19819025627,377215.78788008867,386865.4755290963,447438.86151531665,456670.2555438185,399666.92040010635,235996.54738539184,9439670.001983145,10639209.525366237,81934279.33367874,102062235.93892112,9359058.381692568,77339904.27240445,29676601.024246566,84853293.55294523,39546756.6277172,2471347.898507917,2568729.6405388447,3150027.642051898,17098114.538881574,6849589.185750578,9212950.673883775,15097288.338116223,1254711.3478432957,11118727.899349887,RSN86_SFERN_SON303,2.669845956334369,0.26509292878447566,0.22228456156906418,0.0004474546761616079,0.0003913613259630956
270911.01455904957,252511.89181588715,309882.2718649843,485857.37257636257,131637.90615634777,429815.841605247,217175.00898739786,129402.1187643189,25342.834953690526,814330.3325489496,24262076.980434377,95131982.94346274,30491855.384497218,81581323.29976639,107174780.53203993,77971282.7405941,25809407.251984634,54914906.65333706,865969.0480861403,9323718.165916583,10650651.702515282,14192993.345671315,17847015.458775636,14081529.268511744,13308010.677354647,12247131.015270308,5633743.328971647,RSN1044_NORTHR_NWH090,4.635274218355894,8.630061181380308,7.1624828393589315,0.010872058306913972,0.008102850099187115
81755.34822673124,29302.457124203556,181251.12768069352,128612.26439566047,166940.35213630286,186875.04649654054,175791.86675328057,454811.89320367586,4604.479674355805,2269538.350812005,147990402.95780712,174976636.91346407,6909074.846870707,21761677.18503584,24479124.284948062,9372271.453294609,77746253.4879868,52369884.64962329,428105.3718451949,1260302.4749711575,10791227.9055852,17021471.650363147,2439896.8271931866,15238509.723232143,4137074.9840785023,6417460.7106095245,8184867.583085538,RSN1165_KOCAELI_IZT090,2.53888987256934,3.584407344401034,3.031977338199299,0.007187542438200869,0.006405087243838314
159291.15007446433,178675.1126343428,114402.37487628654,193225.99557557923,450421.95135601994,1455.888368328293,227997.45277441535,412742.9781643537,277033.39188316773,11136112.57350519,180737106.718051,149656447.07367235,137724166.29989645,29540264.187516924,65733473.232629105,85030567.48938234,37639529.48426122,38482166.40271167,3409583.4274772825,384190.09832835407,12674829.552324416,16091363.547330646,8734691.605886213,16194397.478953708,6244432.056427639,9214308.845815068,6584486.554301608,RSN47_LYTLECR_L01021,2.5992455331121183,0.14010689222038786,0.12135504210000854,0.0001592630500896602,9.711027403152508e-05
