m1,m2,m3,m4,m5,m6,m7,m8,m9,k1,k2,k3,k4,k5,k6,k7,k8,k9,c1,c2,c3,c4,c5,c6,c7,c8,c9,wave_name,T_1,a_max,a_avg,drift_max,drift_avg
293730.49551551405,355260.38888893026,380706.3388510632,380048.374198455,160900.21936557,172191.30563338552,372153.8227240522,186276.49461301602,268993.30350191396,14760232.828770699,98506355.90886989,165974313.5231359,156287131.47779363,11777196.40178112,140707254.50349447,38049480.79377227,83090877.15000053,29682406.500410054,1493632.6969100626,16703617.92156787,1088257.8534137558,12318894.16648868,7702428.634296908,9068237.40642666,3123288.815167628,10175928.113590848,9511015.505399436,RSN55_SFERN_BVP090,2.3473712575264196,0.16342808981045565,0.1317744650996803,0.00038742510888893416,0.0003288819121680434
442897.4948878091,385067.0632553026,200839.3858261972,10885.0074234175,440776.5666723042,271652.59677044797,394768.08222926315,8008.129365831815,344518.6733269231,9733745.542262204,179674024.22334355,168287804.70548356,11372124.451429894,127795430.82670903,15737542.410219543,99486050.89272262,64063396.17212266,20664362.676511984,5132946.620934106,19669492.0477052,8847737.87459488,444639.67303227604,9592236.418606974,14812987.380180448,10590721.828466436,2497926.4431351046,10272961.31561479,RSN1487_CHICHI_TCU047-E,2.8954821379270452,4.657813884946734,3.8742971086586317,0.006207137301407326,0.0049872324721203
323807.33331136924,452406.13022705377,441761.8560424736,159856.954614403,129230.52672296364,103930.99678688805,463152.3340187894,211000.1224177408,125379.86488378122,16540756.134048743,208462694.5527338,31377489.870375827,57114728.69058607,146839419.68092236,30127525.195417635,71147369.07539567,74785517.00678559,3716789.691093686,4782102.824725181,5979262.322963571,2312646.9556262763,3111845.457627429,10295344.210661834,106928.3296557448,11167152.041639574,3492223.8245453616,319891.4943766096,RSN1013_NORTHR_LDM334,2.5670888115926767,5.950523749338568,4.382916548044448,0.011320302081066134,0.00910162548573115
119407.82232679188,8679.855719117224,32089.59814245294,13822.075145191524,140304.01195814693,49493.66484778199,477550.74505399534,218567.87826391484,219749.49233453404,16890336.059669018,3687389.3532778663,176671641.68285793,66979208.2643262,91300119.92639604,47248713.35432712,105939893.66107075,53138262.85427058,42607714.83552005,3938453.9618312507,7235395.5682478,4958878.592146269,15173492.894522294,5303021.629220692,15222679.669768656,12549663.955245866,5258697.6160662575,442722.21751074505,RSN92_SFERN_WRP090,2.579216153217747,0.3616105019049609,0.3032293703066579,0.0004145482796902553,0.00035785781010899784
408993.15911317704,162858.48457745972,252942.02326921566,402822.4262431095,406543.0309810544,175588.04900484456,350566.8888041415,247897.50907892105,206196.1199601428,2054354.0504690574,4254539.357988152,79087754.21689895,41496911.83347793,5759254.976752988,24017217.20678901,81911969.62768082,14446970.00013588,18201645.929595545,5255982.864633086,16672861.814215694,17844818.165330656,14047451.88024299,2196549.383293373,16432107.205034453,3022240.952332528,1456887.8202563229,832309.4663508614,RSN19_CTRCALIF_A-HCH271,4.020238581813458,0.8860906174236449,0.6701388919917197,0.0009080187131136752,0.0005880343215671443
266073.54344291164,225332.40296817594,262377.90985825873,170872.56978694696,241453.27526142975,392808.02037978,62316.50827125479,319570.382071691,434438.5408523347,12993746.008668883,131708482.45145237,127232236.85296398,81743739.24304366,135236491.22082418,144013363.08486947,113721155.35346808,3227016.6967807994,32716049.01325865,5754575.275532066,5638805.421698792,7504189.9248692,10499569.954025693,2790499.2793320804,12760425.707623942,12356884.063640684,12541153.269078596,2299346.5300169196,RSN185_IMPVALL.H_H-HVP315,2.9953779551451234,3.645128951355819,2.821389168595968,0.00760437515400613,0.005856013769628757
454272.4270055613,485904.631602923,455488.06654779956,110511.84558347742,103569.42609393186,471642.0451974196,222430.1391674103,366383.28171174624,448107.46975611633,2674461.8666175143,169409562.43651482,122672176.4456463,138498785.0520126,151483251.46951556,141366956.99007672,49500833.695608296,59849438.541148864,26884606.994769096,3275950.6237051594,7588819.293248758,5265287.2395286085,3373611.544318355,14167573.158510936,7156069.922118512,1853332.993209101,2307465.1975342766,3002715.4625393986,RSN63_SFERN_FTR056,3.898664820469115,1.0081035036874377,0.8866486642448331,0.0007625601026200285,0.0005815396596571951
470721.904882345,197408.3295737237,135353.2439568444,383610.1413541126,365471.7450396973,71274.17861487798,347800.27804875234,77480.47526907676,88902.50663934028,6699000.712010119,114830962.3603412,133232789.08277147,82530151.7362547,3099867.6053595864,84708342.95335685,60080569.591361634,9932862.079726594,19940322.400118075,1746278.4804067716,4819413.680582902,16643881.984724514,1543441.1828752975,14228821.757566946,1866671.2813424992,15001437.166144071,7921834.423890681,6373061.504340104,RSN79_SFERN_PAS000,3.2280043813702006,1.2719481250881686,1.0740156071973286,0.0024498103466208928,0.0021571461692992252
310324.2076549129,253146.01407762512,437779.3576599292,296884.6485384343,333271.6542749382,460033.04967794096,131910.46270007148,44727.32339460016,183003.72045714708,5874079.408127574,150075839.19215795,108035184.64891782,170012885.55899087,72130197.37943368,118920710.30742572,116100253.09041157,36116737.7978638,24961803.894299835,4688475.15478566,1074766.7598460582,17400254.535656646,1626822.3966924993,5169158.102434044,14562235.037566062,6296332.468351248,5430221.86454426,4547001.968593539,RSN1485_CHICHI_TCU045-E,2.647040093113324,7.2871458640830955,5.681373203550347,0.006097329797929963,0.004428831252883248
270484.56528800516,452281.80785749,108728.42166680295,294723.62247539684,121035.56349804928,385161.5801503109,233398.84153920424,307312.39851728344,201934.62321537593,14501678.943083392,150636273.35040128,118181375.16579089,47730293.33501399,10051635.548959317,5749652.889355488,23262737.71181946,71368060.94821586,27563066.23533558,1317878.9658407248,12729164.300029,13536633.494650185,7787134.198533578,9021327.602688257,15169657.05713573,220660.7477467881,12216991.187474424,9173109.255363468,RSN22_ELALAMO_ELC180,2.881923437055949,0.6713561549820102,0.5143406618537055,0.0012098056004253893,0.0010200627454139003
170787.24488663257,221341.13307382865,196334.28642848544,355039.20709040173,240553.8942212569,216591.95817887812,255712.6080466828,288969.9120911133,366766.29126274143,16902772.735522583,159900354.25397146,68669123.68260255,150290142.1367495,145552366.58204293,10552185.580475438,37076856.65887945,77381795.12467374,23967116.093640424,1401235.895834052,238166.41904988242,6703430.056111759,6898159.848652203,136982.67869715486,4224337.037250174,14133341.173778625,7355059.260104794,7436617.13799148,RSN171_IMPVALL.H_H-EMO000,2.395390531723878,5.188894758326595,4.301153678669234,0.015235737865654657,0.010509713432544594
345663.95323455945,434604.65463203186,318190.7494171175,321696.44310275826,388612.0667448939,474859.709088868,194246.8056306983,238587.31960654835,100686.89640772331,13392.890552490046,198943716.65447465,124842419.7867559,99460023.6505429,51348783.205112636,81017962.93847767,106827703.77504939,42474916.83201651,37875817.442445494,3482521.2415270414,6218256.309311755,9300693.307205796,11123030.374636019,10114678.256087553,5975861.336348067,3636106.4895192673,3700567.2651868714,746959.2192211993,RSN63_SFERN_FTR326,37.28738613019668,1.3339860777926624,1.2167506705536846,0.0014431805916960822,0.0010853209494100797
21828.568000165993,348470.5978358247,206044.74919091043,82160.02533085902,364932.29242286016,85935.0558625281,43990.183757066625,332550.67846713535,390210.6311409652,17658926.84322633,185553692.28841472,106090565.69787097,92516000.48247412,70614312.43665628,120538773.36353055,66207567.40457548,14637034.568058845,55515506.48670333,3273597.2525176723,11096495.655297065,9326107.653290235,3457719.3934693467,13437153.690511549,14915516.57431259,5049254.804641013,5541536.351987783,5979348.581308748,RSN1511_CHICHI_TCU076-E,2.3883560533291583,4.760322424440485,3.932801540421568,0.008297568677305042,0.006970173459060934
44986.20522874085,319.41324878813293,21401.37735689327,241864.28636576366,76304.82237806272,189866.8911863616,230552.18636975577,306898.47782693105,312645.5446916823,14442034.142214702,85027846.06688073,185224904.86471194,101786483.97793643,49255188.116578214,140308783.93545285,18131003.86295767,43990536.412795775,39397907.6900516,1355816.303014742,12326953.05976391,17544017.78681067,13703815.855326723,4702481.777603484,4387365.5602056645,11413518.75700943,5234094.379676374,2659813.229648611,RSN10_IMPVALL.BG_C-ELC090,2.172413525174079,0.49718357835478916,0.413098448631225,0.0007178252252590125,0.0006534301784852936
409075.3343440372,419014.8172692083,204048.75838076003,94028.36495120806,65916.80421500637,264925.9416421082,408506.98586375266,51879.203458704316,280128.6022869147,258931.52583536124,206878288.14784518,175155618.66436604,33681939.514743105,61672462.42992562,61498990.4323789,75817474.17572166,27302814.823093608,23714025.750965856,2906805.7781767785,548252.7929464862,10190147.528979441,6593595.187608283,8958642.265077928,2875720.268942394,6704001.476369151,5032926.445323968,10851834.990969984,RSN1044_NORTHR_NWH090,9.502206136413792,8.26075287049277,7.0325877982874765,0.010849203370165372,0.00818410652588655
48806.349939102765,184636.1682029637,94909.54808067855,409038.44674576895,251172.8862067206,463950.9538323951,147280.35795524265,4219.660930197606,283116.06367408595,3921159.9897697764,144679146.35348466,137136307.64647225,115688727.33603907,149546567.37733498,113692590.76965883,102784372.47852476,14506997.027158547,11942856.841920806,2380620.7769367406,18551676.965066373,4665925.952930427,15326375.128708007,13814046.64644593,16786631.35064918,3709718.112051794,6366669.772500181,9359019.6799307,RSN21_IMPVALL.BG_E-ELC000,2.534350142404389,0.6580936297325195,0.5759650387642813,0.0008426306830909215,0.0005772784381149384
392139.71708363754,283115.8256669452,17242.52627237409,90410.08329786494,286840.05422361434,152810.99728992596,11493.116851354958,196854.03006347237,477510.1547068906,3347262.3489332204,206614631.712156,119825667.11476351,139664022.49805462,87204037.43391733,89499900.64832324,115155664.3018748,73351341.06710833,30777602.119377054,2550295.3561027264,11297349.129753571,3483604.0203399938,4816157.956400598,6475597.359734074,12369899.491893869,7973606.661129162,2790920.6555176848,4825774.253429548,RSN828_CAPEMEND_PET090,3.3973279015247013,10.882306055615539,8.213492680672083,0.020793069924107906,0.014766475737035887
455112.95191806596,14457.0633638074,210916.40024083387,98903.90279067107,254795.65874599235,480106.534251571,71801.42249076668,64722.272735989565,133350.04709369366,16577973.862779822,5647314.010782106,18087796.66569098,170912489.83758762,37105632.815990485,52936014.93763381,38324834.02003772,38196512.6918002,5730045.767061372,3725366.536704537,13522324.614024466,13587739.412617713,13602159.363604384,6483268.386132226,6600748.422588836,8369894.920219619,621263.746266005,4566646.978596132,RSN7_NWCALIF.C_C-FRN135,2.753812871328196,0.6174476954140511,0.47428265951381987,0.0006897323045107075,0.0005729580215094011
318357.0384154759,268544.0474074455,332903.7008398569,458277.82063609833,458173.35401635105,243646.6279405694,131280.4718471897,413288.7029355418,286603.1400001541,11974766.004157536,4477014.783648167,155322684.74285835,177143024.50293812,135787034.59535924,121636502.60633,24130656.10023387,64132925.284886606,31140242.26129042,3050336.41593524,2775063.0583607545,7312673.75943665,17529907.960922085,12435937.311991477,9690217.779096551,13503346.814930383,5618748.232319748,1866950.8851465252,RSN171_IMPVALL.H_H-EMO270,2.5331154092968715,4.91317925837962,4.080943975805331,0.026303673370682845,0.01552549198495349
9782.039575311737,50708.280480711954,49431.37100170649,471052.5106939318,265703.4931434816,281110.60387132916,416212.0523844848,305097.52636079554,158019.74136518754,14049386.40044371,98401489.23470712,171969064.9349584,16624607.279394934,65900339.86403962,67462421.62835272,94474794.9671766,12014178.925110947,44804485.515914,338258.1596408909,11462.79806916364,3932199.6688226005,11233206.344522785,5619183.119744415,9240153.7098104,3383689.3773170845,11796140.779593153,6085691.40496234,RSN1050_NORTHR_PAC265,2.763273995235968,5.505107154425641,4.5092705010619225,0.004019436552059732,0.0030374324560198166
465867.031480357,210668.07954414145,37520.31481584314,138182.24895531923,432306.41135375807,381167.89682924654,193448.17386635087,32871.28122341847,2761.535028359429,10637100.7631309,143661076.48846284,90843743.11465803,170432544.11637074,22744198.172243156,70160593.27656902,100627013.15594004,31210022.086253285,11983908.010395382,4508563.978374366,7644787.180838689,17364434.49983905,14017509.410311751,14591856.837674618,8499647.196990836,7294596.927561862,3923420.555088072,5527751.008379454,RSN8123_CCHURCH_REHSS88E,2.932416324346635,10.628598134155157,7.44466355336519,0.022705290020591674,0.018479392853753687
466262.3593630797,148764.50838945093,65923.84430157488,229932.62127460682,26862.192019963524,5917.505827429948,389535.7270820083,134622.4703286545,314593.32913137326,11537250.416047497,64099117.19237927,112726475.38437207,93774533.18011953,19207486.159538355,152576581.11988783,81087336.66662824,47028449.17759609,41835465.79170226,3717668.728803829,1263665.0579658956,7651113.489641278,8559214.521727398,11336909.355005344,7505306.351312052,1977221.775942919,5153175.006442163,5381707.737798519,RSN46_LYTLECR_PEL180,2.902323171509264,0.22055272150029906,0.1876332032245586,8.600123843387409e-05,7.784557399729145e-05
503145.296535396,325123.4113494501,273582.27370602416,484659.6926059681,128041.44448437277,358464.27808252594,466213.84985781315,468812.62356558593,353532.5810848079,3244035.487406392,151934962.51718402,188810149.9132177,8782641.605479458,19640361.790896762,4488763.162257412,335545.42408835335,10472146.542267222,4905976.714153458,3535389.0126114613,8569949.055253875,10534369.85327759,14941713.14211136,11987059.350368919,4713448.198381814,14613369.321889125,8973305.529463556,1417646.719888781,RSN32_PARKF_SLO234,8.450902356359405,0.14078179258700063,0.1275411546992172,0.00014456353516982675,0.00012441515189020382
363986.6774304522,14597.67469464672,466406.9325633889,461277.30025222944,486433.9577511566,387575.3833065328,263394.8644176701,287827.36459122854,280285.51347687666,8179053.3844420975,85677509.82661276,65655452.2062535,88833869.15375967,151770668.02005845,5004712.0809385,52596894.48481479,53127250.32216402,18756048.89365777,2616785.147894606,13193890.099518929,15773390.815778755,9943299.206665246,1400423.064025244,14090379.663674777,4155560.9335245043,591429.8300201643,10332566.930351764,RSN1503_CHICHI_TCU065-N,2.9710888014557204,10.283664635813183,6.653583191695889,0.016905441068849895,0.01512240969663643
199864.27219620827,485966.16414741415,269544.8210871166,102211.69469271321,98647.6524450966,320061.18428181566,327769.1848706535,46755.04218000061,521752.8237783779,6000085.208372653,191523540.06536913,86837725.83172616,49217406.16521762,20608882.11619736,84481831.717164,68649262.34142269,18114849.202347502,44335511.41614195,1132866.6015551002,11211791.522348478,11038085.247385994,2385597.4244727693,5508905.449563874,13418262.568017526,3614829.8995534144,12630886.34300879,2272307.852536383,RSN35_NCALIF.AG_E-HCH181,2.7707565606614124,0.3286348305656439,0.2173974128035793,0.00043669043769826256,0.0003266516061423326
154157.94680040368,9179.815817267363,256474.1705928429,300182.03179841884,493472.26606151555,96505.9155293068,285862.9907024971,475880.2324320433,384751.9938231988,10134138.812747212,144915857.45411173,43745306.73996635,168226281.32926804,127600419.98682468,22301942.89179825,67738865.42945457,79974396.6047209,9673791.331838846,1925494.1012006798,957504.4613706215,5385950.747411619,14394453.755423263,17129597.819358893,14355000.30429392,13412615.0517308,7984899.832264036,2749467.0234304927,RSN16_NCALIF.AG_A-FRN044,2.670490210640173,1.0952377680838268,0.76309565132669,0.0010488499535713746,0.000928822202312402
500683.8956484553,75705.17881833708,66850.77144847489,409487.93170878955,486154.1857248962,235904.05429821069,302324.05196188984,394890.91142930515,70816.65652714208,2141723.8097167476,101478550.41782214,146912211.19898695,96432266.74824005,136533347.17195734,33953905.04326358,96944400.8634727,13511200.673148584,11865367.448747443,4847818.897058048,9719836.887113355,7676346.295231161,10819843.292142464,13893582.486303946,17128700.79990108,3521015.414495279,9378031.948211726,6111659.615885307,RSN3548_LOMAP_LEX000,4.3874968451169565,7.294902777002492,5.48777780411863,0.014590277494527976,0.01146185432137168
383907.42767234327,305264.7620029718,172633.7296813664,359664.2391470351,16339.568778746658,324493.90190059284,30363.671177544617,82213.62657707387,297497.5508840878,12966462.240670761,181381447.3554941,55244475.12462261,132792782.790226,58571068.77097802,22414359.015824437,57077275.73955608,17360844.24853529,13975305.838626513,5450548.657408419,117168.52074852501,3154641.575923821,9620260.303091725,14913758.146261005,629705.993096985,14071492.172446197,5475599.060078313,7759913.098703721,RSN6959_DARFIELD_REHSN02E,2.5982155255402835,5.713039256326384,4.466253683752287,0.013173389886660397,0.010106317045997728
197153.366374307,320568.15344656626,119075.70498148205,177469.13917417423,107325.81677712721,375450.17978264065,160105.73210583001,240185.53274868397,319547.3250518021,1686980.0604457513,201783373.05857807,170275974.08372158,49581418.6462991,66516061.604978465,70304144.79646206,42801817.76852253,5884538.212553064,24512880.45860261,4983666.92376076,14833457.367058134,5028685.807875355,2356820.836244619,12343808.567966016,15895058.430716062,6918530.664990612,6154440.628407838,9043723.726587027,RSN92_SFERN_WRP180,2.9863171317808344,0.3404816539475933,0.3096306308362833,0.00024071708647381714,0.00020986601351006445
135224.51940354778,32685.42217646793,87419.20769149304,414432.16055047954,299687.450905245,208188.39747528505,412237.201785965,138287.8403970594,7168.924882045565,2344161.1627697456,16657861.890420947,157576430.801518,110993093.79275723,14609769.215175757,113483615.09243503,2138915.9620685214,48611504.00376903,11480715.542712089,948351.1205963161,13666584.471349038,144446.89321831544,8897550.30685709,12576158.390183788,591842.4860540003,6880647.44645059,8578613.515277721,567523.7262403582,RSN3744_CAPEMEND_BNH360,3.818668406079192,3.1380868076478627,2.657112076201854,0.009596244605956079,0.007393133866578524
428140.77537642553,478825.12432346534,91903.33933658715,269932.3939151092,393620.93561888294,59499.50646568966,107748.26260750822,410430.2271376508,452624.0935450271,11197479.925301211,90056188.29462937,174243334.394883,48278299.131365165,53963377.85420196,149051756.8850496,15488597.604297701,43274736.83153935,43972656.81666842,1937515.5365016537,414082.7722267892,2098599.9805363724,470580.98610269063,3592276.7270863135,10028645.214528373,12463124.910761932,9064346.646811413,7398100.016687658,RSN35_NCALIF.AG_E-HCH181,2.7928420111290624,0.3258820074618467,0.21754648236735574,0.00040790325845162055,0.00032600117389479534
225569.45089927432,342430.02896730055,297577.0569823295,188788.58811515215,297950.9069400729,317360.16105012543,248165.55736492487,223477.3921760894,502506.91753917193,8205043.81133832,30915290.101599243,101282815.76548257,12182906.39062734,76409638.21700114,119330661.4612605,70418615.09194608,55767329.46921604,16216549.086582074,4292290.100004492,4653440.5174175715,12271278.090560157,7645535.892074882,1676802.652160972,7183114.551203505,6178873.632637959,12891405.886789462,5669914.006372194,RSN9_BORREGO_B-ELC090,2.8834005827029454,0.805925989539999,0.6537384405955563,0.001588919522444631,0.001337265174881637
441670.4500057331,427434.01773655915,172242.55439776715,408793.3532729154,108747.88693669211,102397.32696408193,75346.1417057318,157342.0344528101,275610.4574931268,1827713.8975667122,168928229.5278784,181716178.86220995,35123721.595924444,82453748.96389267,49183222.287796706,74931917.0183313,65692552.0199336,21244623.61560732,3838248.319876982,10753056.541191988,7563616.242661981,9750492.381521787,3096484.089268284,2855033.582390771,5009392.160015758,2715641.2426295523,8404779.892780993,RSN101_NCALIF.AG_D-CPM030,4.345530200877969,1.4206617681563087,1.1723948432203004,0.0001513144893261634,9.916242880963051e-05
