period,site_no,site_name,wg,xig,stru_damping,gamma_t,miu,zeta,kappa,gamma,alpha,ok
2.2,0,Group1+I0,31.42,0.64,0.02,0.6,0.20391956792741853,0.0055890829203886225,0.21358875503523284,0.646831507886376,-1.6595295309138292,True
2.2,0,Group1+I0,31.42,0.64,0.02,0.7,0.07472102371871853,0.004476741023015097,0.06401760226514343,0.7109575063908306,-2.612337213630613,True
2.2,0,Group1+I0,31.42,0.64,0.02,0.8,0.05200631190838781,0.0031448752156626467,0.049605556571566414,0.7964452880378677,-3.083666952484311,True
2.2,0,Group1+I0,31.42,0.64,0.02,0.9,0.16659503492189584,0.004583641955012708,0.17508557699748242,0.8969706032989793,-2.6533593740928794,True
2.2,0,Group1+I0,31.42,0.64,0.04,0.6,0.14520596021863058,0.012194357994114727,0.12271738980289384,0.6489876495667435,-1.5820508551175188,True
2.2,0,Group1+I0,31.42,0.64,0.04,0.7,0.2714182521083141,0.0019153207825917122,0.15721997107893185,0.7425900897055235,-1.9772943787461577,True
2.2,0,Group1+I0,31.42,0.64,0.04,0.8,0.18981104414839686,0.006991542979948863,0.18908520324655181,0.8184122562393389,-2.1440675547763757,True
2.2,0,Group1+I0,31.42,0.64,0.04,0.9,0.5354042147673823,0.00011198222804043037,0.17362235000166817,0.9094720449599741,-2.5260046084730394,True
2.2,0,Group1+I0,31.42,0.64,0.06,0.6,0.19919477477369746,0.02120330216293487,0.21569340997477487,0.6499826216971604,-1.3369757060515686,True
2.2,0,Group1+I0,31.42,0.64,0.06,0.7,0.13851463846308976,0.011689596052312791,0.1455842278239761,0.7439983508433189,-1.8294726048598748,True
2.2,0,Group1+I0,31.42,0.64,0.06,0.8,0.05801868460334347,0.0032675564775996877,0.05854871211273539,0.8355426643631771,-2.7570352295963994,True
2.2,0,Group1+I0,31.42,0.64,0.06,0.9,0.08811065587442612,0.0015115812646088194,0.0657227645177061,0.9036899853632071,-2.847110012002759,True
2.2,0,Group1+I0,31.42,0.64,0.08,0.6,0.27446641130174104,0.040832616997251166,0.2874010695129792,0.6499793158877867,-1.1063252847037655,True
2.2,0,Group1+I0,31.42,0.64,0.08,0.7,0.12597383605679063,0.010579168954181208,0.10816506457574762,0.7467759579122839,-1.8707503251446849,True
2.2,0,Group1+I0,31.42,0.64,0.08,0.8,0.09874730593989531,0.0018400848186028722,0.07819911954103588,0.8222681412280795,-2.7354549615601798,True
2.2,0,Group1+I0,31.42,0.64,0.08,0.9,0.2794327150264111,0.002125188739973139,0.17172269033972457,0.9437674563800096,-2.605764614952759,True
2.2,0,Group1+I0,31.42,0.64,0.1,0.6,0.3508351309256074,0.07294149805518237,0.3611730465467728,0.6499992424834137,-0.9667474145268039,True
2.2,0,Group1+I0,31.42,0.64,0.1,0.7,0.17776287413300154,0.019594714337508593,0.18632737824808623,0.7489247987847168,-1.5321865116022715,True
2.2,0,Group1+I0,31.42,0.64,0.1,0.8,0.13070209373050218,0.0010386929070754782,0.11659149999307841,0.8341843754245873,-2.5524238748103336,True
2.2,0,Group1+I0,31.42,0.64,0.1,0.9,0.059890374764391685,0.002863593442195556,0.05519825302359839,0.8875023706379364,-3.1914111240976752,True
2.2,0,Group1+I0,31.42,0.64,0.12000000000000001,0.6,0.4834793302546417,0.10808903885020374,0.48965191825705645,0.6496425813027772,-0.883722570380372,True
2.2,0,Group1+I0,31.42,0.64,0.12000000000000001,0.7,0.21340495427476225,0.02816624236354593,0.222570988872215,0.7499559376416923,-1.3611509295495479,True
2.2,0,Group1+I0,31.42,0.64,0.12000000000000001,0.8,0.1272405465216955,0.003180131363572648,0.10791146916019126,0.8378055177163645,-2.4512162568841283,True
2.2,0,Group1+I0,31.42,0.64,0.12000000000000001,0.9,0.08421090276617893,0.0002821832937327518,0.06038584650137792,0.9394358144066759,-2.9797987485579833,True
2.2,0,Group1+I0,31.42,0.64,0.13999999999999999,0.6,0.44800368118287504,0.1650784561794766,0.49879254398930883,0.6497664716597439,-0.7803053023429982,True
2.2,0,Group1+I0,31.42,0.64,0.13999999999999999,0.7,0.27542245490633865,0.04218761685770179,0.2771503370575657,0.7499992027090421,-1.2168335836917554,True
2.2,0,Group1+I0,31.42,0.64,0.13999999999999999,0.8,0.15721282421504268,0.009658031309515704,0.12633216569322595,0.8475453353295462,-1.961974946470642,True
2.2,0,Group1+I0,31.42,0.64,0.13999999999999999,0.9,0.06818458463320354,0.0016006455063916074,0.048703917096613605,0.9250686150533222,-3.000494389762786,True
2.2,0,Group1+I0,31.42,0.64,0.16,0.6,0.39794229864307606,0.18566607215502964,0.4995332211186472,0.6699865044569387,6.259445980873603,False
2.2,0,Group1+I0,31.42,0.64,0.16,0.7,0.3649137778763241,0.062443391419103614,0.3350244437906808,0.7499975466866481,-1.1198233811964404,True
2.2,0,Group1+I0,31.42,0.64,0.16,0.8,0.14779076780300873,0.01487614981645569,0.12251000288888816,0.8481173251537166,-1.789508635274944,True
