period,site_no,site_name,wg,xig,stru_damping,gamma_t,miu,zeta,kappa,gamma,alpha,ok
5.2,2,Group3+I0,20.94,0.64,0.02,0.8,0.11740521385299121,0.0016287565474026881,0.07927494614235976,0.7612154822351642,-3.0966974225866264,True
5.2,2,Group3+I0,20.94,0.64,0.02,0.9,0.24481918753988738,0.00036840886426581243,0.043097511576079,0.947096865940336,-11.770939518349053,True
5.2,2,Group3+I0,20.94,0.64,0.04,0.6,0.5489501526540151,0.024790294837807043,0.49810685214559514,0.6623488641206671,5.092110356882846,False
5.2,2,Group3+I0,20.94,0.64,0.04,0.7,0.09265498851483683,5.7876110939325556e-05,0.06437958872883899,0.7277361846666476,-4.317789833175066,True
5.2,2,Group3+I0,20.94,0.64,0.04,0.8,0.06703871513545034,0.0007630065197200555,0.040728033195853726,0.7737638379634324,-3.3281000901190954,True
5.2,2,Group3+I0,20.94,0.64,0.04,0.9,0.2856356214196817,8.203834417519486e-05,0.049695768202778226,0.885562282174906,-6.943556946902458,True
5.2,2,Group3+I0,20.94,0.64,0.06,0.6,0.5245109369028768,0.047874615309754245,0.49736089255453486,0.662830271687156,5.198819464680344,False
5.2,2,Group3+I0,20.94,0.64,0.06,0.7,0.43550835712070896,0.013053059772447643,0.41603791588601347,0.7395753610665683,-1.4511565866447524,True
5.2,2,Group3+I0,20.94,0.64,0.06,0.8,0.12695817696660078,0.0035987198889064773,0.08945258095044763,0.8004375748052501,-3.0150870062715827,True
5.2,2,Group3+I0,20.94,0.64,0.06,0.9,0.4592300223530457,0.002142034502953805,0.08325357859214512,0.9360651699010767,-6.063907255068252,True
5.2,2,Group3+I0,20.94,0.64,0.08,0.6,0.5030092839263726,0.06964238091770382,0.49644058937490865,0.6691882784702124,5.8981720486844385,False
5.2,2,Group3+I0,20.94,0.64,0.08,0.7,0.42781242887605886,0.009222366053199262,0.42299337570359374,0.7466514984957576,-1.4253979490534865,True
5.2,2,Group3+I0,20.94,0.64,0.08,0.8,0.08486490728283266,0.002910181923362343,0.0578980007454455,0.7666973895695484,-3.5899860647403194,True
5.2,2,Group3+I0,20.94,0.64,0.08,0.9,0.4267913342520272,0.0014518201567503832,0.07698796804231357,0.9424140820619685,-6.889786431318307,True
5.2,2,Group3+I0,20.94,0.64,0.1,0.6,0.5145891625977649,0.06723780285176341,0.4983109608040893,0.6765159618333763,6.626169381320995,False
5.2,2,Group3+I0,20.94,0.64,0.1,0.7,0.4499677734448305,0.010852731926034866,0.42338766788523896,0.7499953403221398,-1.435200113688754,True
5.2,2,Group3+I0,20.94,0.64,0.1,0.8,0.17078346822702686,0.002118252249334041,0.09836302099172803,0.8129450803382865,-2.0143075169552445,True
5.2,2,Group3+I0,20.94,0.64,0.1,0.9,0.569139505062772,0.002524986900761528,0.10462781942826241,0.9403706556061826,-5.257722677360244,True
5.2,2,Group3+I0,20.94,0.64,0.12000000000000001,0.6,0.5118958820100721,0.06932940437390513,0.49979611485892705,0.686086098866751,7.593636925440724,False
5.2,2,Group3+I0,20.94,0.64,0.12000000000000001,0.7,0.4635073783379323,0.012985937490849756,0.43232896823181166,0.7499977156134828,-1.3934322515521347,True
