period,site_no,site_name,wg,xig,stru_damping,gamma_t,miu,zeta,kappa,gamma,alpha,ok
4.2,7,Group2+II,15.71,0.72,0.2,0.7,0.3982632920081291,0.21082041726738837,0.4989443868241368,0.7046895064923221,3.961786912288206,False
4.2,7,Group2+II,15.71,0.72,0.2,0.8,0.48499024840068167,1.945346622844735e-05,0.24103396745076727,0.799999855568047,-1.8892332635355973,True
4.2,7,Group2+II,15.71,0.72,0.2,0.9,0.15505282638614187,0.002663023809537646,0.06822036308378522,0.8924531836324867,-3.226493382860931,True
4.2,8,Group3+II,13.96,0.72,0.2,0.6,0.3721932037628934,0.1895083366261175,0.49865521488569997,0.7050171069110728,104.29371611982378,False
4.2,8,Group3+II,13.96,0.72,0.2,0.7,0.3803409128648822,0.19640790218722676,0.4997216016012669,0.7045676900591252,3.843259000511882,False
4.2,8,Group3+II,13.96,0.72,0.2,0.8,0.49847746081083066,1.9237399387916913e-05,0.25025824085262777,0.7996602165307853,-1.860562890437106,True
4.2,8,Group3+II,13.96,0.72,0.2,0.9,0.2759255106595364,0.0010543093242393333,0.13650522584475913,0.9000543730323652,-3.359978979971084,False
4.2,9,Group1+III,13.96,0.8,0.2,0.6,0.39612095950588944,0.19360859980596007,0.49964635818669734,0.7045251227397961,103.78741938665156,False
4.2,9,Group1+III,13.96,0.8,0.2,0.7,0.37889584295040313,0.19160463201410521,0.49933123587565476,0.7046507127913373,3.9242092831547586,False
4.2,9,Group1+III,13.96,0.8,0.2,0.8,0.5078788195098892,0.00022396445608086074,0.2574798652154187,0.7999801120409779,-1.8433219897733448,True
4.2,9,Group1+III,13.96,0.8,0.2,0.9,0.13299105365943556,3.183633136505382e-05,0.05928848772180807,0.8853545421159361,-4.783830971376833,True
4.2,10,Group2+III,11.42,0.8,0.2,0.6,0.4057768151379258,0.19447870097277614,0.4996607676097865,0.7050062053609053,104.25908537804231,False
4.2,10,Group2+III,11.42,0.8,0.2,0.7,0.4007274523404518,0.20158709140996772,0.49964842944813415,0.7049260498152005,4.187266881393263,False
4.2,10,Group2+III,11.42,0.8,0.2,0.8,0.4746094587244446,0.0001673847461847178,0.23144315528039866,0.7999999758432588,-1.880111974731667,True
4.2,10,Group2+III,11.42,0.8,0.2,0.9,0.037069887060932394,0.00026314706002394944,0.03847123739825543,0.7691777170660054,-6.134966551982018,True
