period,site_no,site_name,wg,xig,stru_damping,gamma_t,miu,zeta,kappa,gamma,alpha,ok
5.2,0,Group1+I0,31.42,0.64,0.2,0.6,0.4443220959764797,0.14776896905554784,0.49957247822839734,0.7314948941260717,130.66452172185865,False
5.2,0,Group1+I0,31.42,0.64,0.2,0.7,0.4663735570996015,0.1456318742876034,0.49870667604664976,0.7316024077071264,30.753531982807715,False
5.2,0,Group1+I0,31.42,0.64,0.2,0.8,0.4955263528806208,0.00841563207530427,0.44603842416462935,0.7999872156297722,-1.402669047121539,True
5.2,0,Group1+I0,31.42,0.64,0.2,0.9,0.6201525204634388,0.0002772882622076312,0.11192716079841794,0.8928155659492988,-4.843580238414707,True
5.2,1,Group2+I0,25.13,0.64,0.2,0.6,0.47397022125858895,0.15948161720457102,0.49971650540406265,0.7319617173893526,131.12415656800033,False
5.2,1,Group2+I0,25.13,0.64,0.2,0.7,0.4639254900214281,0.1504589937695711,0.4992029964805096,0.73163674537493,30.795155293525013,False
5.2,1,Group2+I0,25.13,0.64,0.2,0.8,0.48615727754740895,0.009825788584735819,0.44349131648974593,0.7999999497217718,-1.402783649552718,True
5.2,1,Group2+I0,25.13,0.64,0.2,0.9,0.661760049543381,0.0010618046084315271,0.12039308429350085,0.8978974690916277,-4.601187308986556,True
5.2,2,Group3+I0,20.94,0.64,0.2,0.6,0.458576911906067,0.13463016800031316,0.4998081400961897,0.7316300324767856,130.77169842960188,False
5.2,2,Group3+I0,20.94,0.64,0.2,0.7,0.4629775899014532,0.14381606346094702,0.49868724493216343,0.731826249551319,30.975987363626277,False
5.2,2,Group3+I0,20.94,0.64,0.2,0.8,0.46280487799199255,0.0188441428369901,0.4190971988305032,0.7999924280620275,-1.398868908009015,True
5.2,2,Group3+I0,20.94,0.64,0.2,0.9,0.6459708908422697,0.0006234720442216403,0.11699381645014609,0.8932632135724591,-4.646913490454574,True
5.2,3,Group1+I1,25.13,0.64,0.2,0.6,0.46495232159254074,0.1437067932442843,0.4998769909125118,0.731363582146425,130.51372298036028,False
5.2,3,Group1+I1,25.13,0.64,0.2,0.7,0.47208923277292114,0.13758127596350425,0.49986145645173574,0.7314237204761265,30.56107708438269,False
5.2,3,Group1+I1,25.13,0.64,0.2,0.8,0.4848044234693215,0.01113933341412743,0.43931380568912337,0.7999894181145214,-1.4035061913891378,True
5.2,3,Group1+I1,25.13,0.64,0.2,0.9,0.696717056247283,0.001672484005577624,0.1272389982229322,0.8958284477643598,-4.309266989563294,True
5.2,4,Group2+I1,20.94,0.64,0.2,0.6,0.4770242887624513,0.13939026205823216,0.49940754472326554,0.7317796838589462,130.91500971860896,False
5.2,4,Group2+I1,20.94,0.64,0.2,0.7,0.4452757553952774,0.14692151765408393,0.499970763921302,0.7316305398620327,30.797444989957885,False
5.2,4,Group2+I1,20.94,0.64,0.2,0.8,0.4287377686379022,0.03223981011271194,0.38702368567919265,0.7999999789912265,-1.3651657892379159,True
5.2,4,Group2+I1,20.94,0.64,0.2,0.9,0.11065755825734719,0.0006635636190110984,0.08064101756574239,0.8182609127436873,-4.7063616902836545,True
5.2,5,Group3+I1,17.95,0.64,0.2,0.6,0.4617480131303818,0.14034965843483296,0.4991779550787502,0.7318477451322799,130.99343402281949,False
5.2,5,Group3+I1,17.95,0.64,0.2,0.7,0.45609288832579886,0.14078778983336374,0.49939724802072716,0.7318150561856425,30.965392467591794,False
5.2,5,Group3+I1,17.95,0.64,0.2,0.8,0.5089323241596383,0.005922019569903904,0.4532783173513162,0.7999959105959413,-1.3990654397455295,True
5.2,5,Group3+I1,17.95,0.64,0.2,0.9,0.5245147590507372,0.00022730976681872855,0.09327585389131089,0.886753390789044,-5.295372889306046,True
5.2,6,Group1+II,17.95,0.72,0.2,0.6,0.4637634175410994,0.1493150912123187,0.49972074478448547,0.731758964620302,130.91498967316443,False
5.2,6,Group1+II,17.95,0.72,0.2,0.7,0.44668787884223415,0.14686131696196372,0.49928021429896674,0.7319210753386618,31.08543118544921,False
5.2,6,Group1+II,17.95,0.72,0.2,0.8,0.4452557878392033,0.02490229196700889,0.40412589764782636,0.799999525311276,-1.387760989246377,True
5.2,6,Group1+II,17.95,0.72,0.2,0.9,0.7192494896026309,0.0009735301282037814,0.1310930569632807,0.888199028826357,-4.133169280701856,True
5.2,7,Group2+II,15.71,0.72,0.2,0.6,0.4572936238992722,0.14102267684076245,0.4980247020427093,0.7323149867791735,131.4625440786715,False
5.2,7,Group2+II,15.71,0.72,0.2,0.7,0.4678839462544171,0.13975787371036222,0.49967365711441125,0.7318935440377334,31.03380002225854,False
