id,周期,场地编号,场地名称,wg,xig,结构阻尼比,减震比,miu,zeta,kappa,gamma,alpha,ok
35,0.1,3,设计地震第1组+I1,25.13,0.64,0.05,0.5,0.9620196369440827,0.9994389042216457,0.3215811723588494,0.8943713793415184,38.91425449901143,False
36,0.1,3,设计地震第1组+I1,25.13,0.64,0.05,0.6,0.8749298518518347,0.999632984397061,0.3164419778916387,0.894526399811643,28.92708388519782,False
37,0.1,3,设计地震第1组+I1,25.13,0.64,0.05,0.7,0.701635500055816,5.50821427634518e-05,0.025944188430489512,1.008579687555487,15.838018357271698,False
38,0.1,3,设计地震第1组+I1,25.13,0.64,0.05,0.8,0.7143902384816873,0.00011732429353389362,0.010159164742821192,0.9775047675971995,3.09749093869919,False
39,0.1,3,设计地震第1组+I1,25.13,0.64,0.05,0.9,0.733496969442792,0.9907117783331258,0.12918181813643737,0.919979204874186,-0.7433930401344261,True
40,0.1,4,设计地震第2组+I1,20.94,0.64,0.02,0.5,0.5925550728481641,0.00022937357596586327,0.01238603154112422,1.069174666172205,34.0933109535804,False
41,0.1,4,设计地震第2组+I1,20.94,0.64,0.02,0.6,0.7883544324960889,0.999667026100062,0.31135951959609626,0.8931763270404323,28.783613739853585,False
42,0.1,4,设计地震第2组+I1,20.94,0.64,0.02,0.7,0.8951280779773598,0.9994513094384321,0.3288267279328907,0.8928390463178205,18.762912694017007,False
43,0.1,4,设计地震第2组+I1,20.94,0.64,0.02,0.8,0.8327111216836506,0.9990416243600966,0.33780580265675336,0.8929046108233586,8.778455810468872,False
44,0.1,4,设计地震第2组+I1,20.94,0.64,0.02,0.9,0.908480531785492,0.9903613179203966,0.1279902691244354,0.9191885454880326,-0.7537747955031856,True
45,0.1,4,设计地震第2组+I1,20.94,0.64,0.05,0.5,0.9987075254224801,0.9996055737108407,0.3373419220547521,0.8919349831483385,38.6780906418778,False
46,0.1,4,设计地震第2组+I1,20.94,0.64,0.05,0.6,0.9938645958443328,0.9990557283092717,0.34976698718791444,0.8920094609172172,28.69595784796618,False
47,0.1,4,设计地震第2组+I1,20.94,0.64,0.05,0.7,0.8934896803907281,0.9981632009011745,0.32627145444058964,0.8922598071139095,18.703714133428598,False
48,0.1,4,设计地震第2组+I1,20.94,0.64,0.05,0.8,0.9634864104053855,0.9990603476692762,0.3059920244365336,0.8924225892416332,8.700310495146855,False
