period,site_no,site_name,wg,xig,stru_damping,gamma_t,miu,zeta,kappa,gamma,alpha,ok
2.2,0,Group1+I0,31.42,0.64,0.2,0.6,0.4138947815220609,0.19629716420616455,0.4990689158300894,0.709759468960382,108.99607227459379,False
2.2,0,Group1+I0,31.42,0.64,0.2,0.7,0.3916555881189391,0.2072155059459136,0.4999861121175604,0.7095662124669595,8.82582536930698,False
2.2,0,Group1+I0,31.42,0.64,0.2,0.8,0.4101958290122294,0.055212602842041894,0.3315729101236598,0.7999999982412543,-1.2033085952715967,True
2.2,0,Group1+I0,31.42,0.64,0.2,0.9,0.2872384201259852,0.0019708723123501586,0.1548808091116072,0.8999493869345554,-2.3030529417586028,True
2.2,1,Group2+I0,25.13,0.64,0.2,0.6,0.41860505349414445,0.18978965565248812,0.49989605694854344,0.7102944358852489,109.52046391843572,False
2.2,1,Group2+I0,25.13,0.64,0.2,0.7,0.42564792344588015,0.19189166563587884,0.49982544779517424,0.7103526083542793,9.575551301875208,False
2.2,1,Group2+I0,25.13,0.64,0.2,0.8,0.36589191990305453,0.05607357704749073,0.3077823789087292,0.7991121208693029,-1.2018189704059827,True
2.2,1,Group2+I0,25.13,0.64,0.2,0.9,0.12659292715263712,0.00602879384202948,0.10827018481895603,0.8976901698277441,-2.30314415141694,True
2.2,2,Group3+I0,20.94,0.64,0.2,0.6,0.40771328064692497,0.20616051116824913,0.49996534734912734,0.7106756075355469,109.9174709261769,False
2.2,2,Group3+I0,20.94,0.64,0.2,0.7,0.3698684437940584,0.2050191865119217,0.4991950392603135,0.7113378625781827,10.604899185003122,False
2.2,2,Group3+I0,20.94,0.64,0.2,0.8,0.35139056426059667,0.052532137223066946,0.3132747681926901,0.7996919032184363,-1.2084902084094857,True
2.2,2,Group3+I0,20.94,0.64,0.2,0.9,0.26717251638759865,0.0022736043076754258,0.13962952255650643,0.8985978303383307,-2.291398347698922,True
2.2,3,Group1+I1,25.13,0.64,0.2,0.6,0.42164295323805123,0.19747049655721333,0.4991430714598756,0.7103643718747116,109.59381826140672,False
2.2,3,Group1+I1,25.13,0.64,0.2,0.7,0.39369525162017066,0.1971136956976905,0.4990997612342203,0.7103096770369197,9.557961496399084,False
2.2,3,Group1+I1,25.13,0.64,0.2,0.8,0.3367790517836029,0.0528435789472398,0.2999394208183798,0.79999898032343,-1.207985041125687,True
2.2,3,Group1+I1,25.13,0.64,0.2,0.9,0.2473505223071222,0.0021728426541811623,0.127306887914343,0.8997865038482241,-2.3613780410353145,True
2.2,4,Group2+I1,20.94,0.64,0.2,0.6,0.4030574724192078,0.1944041132093089,0.49895747004385993,0.7109560215917092,110.19225256608668,False
2.2,4,Group2+I1,20.94,0.64,0.2,0.7,0.40105652958548266,0.22246815595728392,0.4998034611315051,0.7111872393364154,10.442807561385315,False
2.2,4,Group2+I1,20.94,0.64,0.2,0.8,0.34344258287341367,0.051932715653370556,0.309674967969581,0.7999994139215475,-1.2101786364042704,True
2.2,4,Group2+I1,20.94,0.64,0.2,0.9,0.11408201647580421,0.00632338980322167,0.10201952013402463,0.8992613974367499,-2.3045582934212097,True
2.2,5,Group3+I1,17.95,0.64,0.2,0.6,0.38746854062180425,0.1953533916973083,0.49981646239484046,0.711410260819944,110.65502156331503,False
2.2,5,Group3+I1,17.95,0.64,0.2,0.7,0.39333783236644354,0.20659525255255778,0.4993980228811208,0.7115634926966343,10.811180353089698,False
2.2,5,Group3+I1,17.95,0.64,0.2,0.8,0.3829388185699985,0.05628931606247002,0.3172992440655715,0.7999837424230172,-1.207155867423101,True
2.2,5,Group3+I1,17.95,0.64,0.2,0.9,0.273456321185292,0.0017415732404824085,0.1439970976709887,0.9000202862312772,-2.290337156688147,False
2.2,6,Group1+II,17.95,0.72,0.2,0.6,0.387906582608471,0.18431220478284663,0.4994729459207199,0.7114596476336543,110.69623623559212,False
2.2,6,Group1+II,17.95,0.72,0.2,0.7,0.3870715960378632,0.19820487794585345,0.4997285306413253,0.7111724635087454,10.420002777422585,False
2.2,6,Group1+II,17.95,0.72,0.2,0.8,0.3961461871718846,0.05502587638833935,0.3299856086073161,0.7999937030823718,-1.2075332149724423,True
2.2,6,Group1+II,17.95,0.72,0.2,0.9,0.12970227051415395,0.005593985402494451,0.11117494271956299,0.8996041553582411,-2.332103513254742,True
2.2,7,Group2+II,15.71,0.72,0.2,0.6,0.3970297440775847,0.20117265285808822,0.49999076873050285,0.7115632187533095,110.80208126420308,False
2.2,7,Group2+II,15.71,0.72,0.2,0.7,0.39319518354980343,0.19254739124398518,0.49970684200088444,0.7116475011047393,10.882789669069183,False
2.2,7,Group2+II,15.71,0.72,0.2,0.8,0.349040904451314,0.05228506106563004,0.31417417249343055,0.7999888407661807,-1.2141766482575722,True
2.2,7,Group2+II,15.71,0.72,0.2,0.9,0.1372340177641586,0.0056150928976400625,0.11630773717623558,0.8998132648024041,-2.301330609963125,True
2.2,8,Group3+II,13.96,0.72,0.2,0.6,0.3658153800882972,0.19142368721103203,0.499720960851326,0.7123698527403568,111.6210808347829,False
