wave_name,sa1,sa2,sa3,sa4,sa5,sa6,sa7,sa8,sa9,sa10,sa11,sa12,sa13,sa14,sa15,sa16,sa17,sa18,sa19,sa20,sa21,sa22,sa23,sa24,sa25,sa26,sa27,sa28,sa29,sa30,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,sv16,sv17,sv18,sv19,sv20,sv21,sv22,sv23,sv24,sv25,sv26,sv27,sv28,sv29,sv30,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,sd14,sd15,sd16,sd17,sd18,sd19,sd20,sd21,sd22,sd23,sd24,sd25,sd26,sd27,sd28,sd29,sd30,sa_max,sa_avg,sv_max,sv_avg,sd_max,sd_avg,pga,pgv,pgd,epa,epv,epd,pa,pv,pd,ic
RSN1_HELENA.A_A-HMC180,5.15049482313328,1.65207945735196,2.14762858636916,3.07744368721718,1.39211694885905,1.03530128045814,0.678877592348679,0.545471750033082,0.320469534886621,0.304769227440782,0.277837837863315,0.304813649152359,0.277766677305333,0.277919603759388,0.271043526466552,0.266861844452625,0.251846992609351,0.230671331365747,0.206908468256241,0.183065755880821,0.16537140491101,0.158026804780548,0.147254099738738,0.134527499406233,0.121836971267008,0.110965316039061,0.101051359154704,0.0943320189075804,0.0887857210429103,0.0840875937090952,0.0799644961429086,0.0467044214807379,0.100311889398235,0.206736861123708,0.128323129114511,0.118368682921141,0.097504737970599,0.0778065411385545,0.0713090987742594,0.0632391964549321,0.0679189764854307,0.0822841007696907,0.089883947894417,0.0923891267829527,0.0914352511464079,0.0883067826105561,0.0839319212185965,0.0789486192191912,0.0747172853855533,0.0757924014641356,0.0756547009316566,0.0744798279393256,0.0724862978625801,0.0699724740597301,0.0672101110400256,0.0642511996374982,0.0612154897192689,0.0581886283253993,0.0568163469059621,0.0564428098867216,0.00131553128586238,0.00166313067013057,0.00488329042262546,0.0124333003996597,0.00883293676029245,0.00942012541245387,0.00844892858668032,0.00885831148842642,0.00661281356362034,0.00775910327582652,0.00850338149737578,0.0111849078574535,0.0117911277943042,0.0138834477179255,0.0153229056201142,0.0171465320469179,0.0182589819348483,0.0187388466719946,0.0187085900580017,0.0183277531992943,0.0186885537948101,0.0196025007925205,0.0199856447404742,0.0199021146171399,0.0195912536261872,0.0193276313270985,0.0188167876099755,0.0183894234775107,0.0184640376896408,0.0186629226327733,6.96790676421542,0.73540904830729,0.22317848936476,0.0830243230369122,0.0199869877678369,0.0135745772666656,1.5754529,0.059120647333762,0.0135683106327896,0.935358344095925,0.0305329755172488,0.00731282853722304,0.0206433427093533,6.21973476238869e-05,1.08284062991269e-05,0.0157158245589366
RSN2_HELENA.B_B-FEB000,0.503667123836438,0.186859246848736,0.110160402409657,0.0810318187651946,0.0643221380353359,0.0515203206482177,0.03983176989195,0.0277522013554864,0.0190542115620523,0.0155622081875667,0.0131428061092422,0.0132926936706001,0.0136875554163633,0.0150616555482723,0.0141665100593946,0.0131175968139068,0.0121773471404151,0.0113363042502427,0.00998196359834025,0.00889822843435239,0.00852984483684887,0.00684029971737096,0.00586986900200624,0.00537701158380548,0.00487577415302751,0.00439036757298598,0.00406064645819611,0.00371625518381653,0.00337115891076414,0.00303494210592848,0.00963207497877342,0.00688897384021829,0.00859754053351942,0.0102422431601761,0.00873256114912721,0.00732701865176759,0.00739006183743516,0.00793037487061886,0.00789238432526458,0.0076526567791495,0.0074828580002329,0.00746766770033872,0.00758149117607562,0.00776676882141022,0.00797260917966914,0.00816540495590257,0.00832732228296129,0.00845158540039219,0.0085380817074052,0.00859019223313838,0.00861278134230447,0.00861103551537533,0.00858985475679331,0.0085535775262223,0.00850589450569096,0.00844986181121353,0.0083879610853603,0.00832217697241502,0.00825407632995261,0.00818488156508161,0.000128635465849851,0.000189160195278967,0.000251465328093236,0.000330154567907064,0.000404084122973786,0.00046112399531819,0.000488113919062379,0.000437659628960812,0.000375206102413582,0.000380466184846591,0.000391126420738634,0.000486595436752463,0.00060847194890438,0.000741441760876739,0.000815641082711544,0.000884836727453927,0.000921899362260958,0.00091080128685864,0.000918206301150396,0.000955146304643605,0.000974552320911232,0.000900364343947542,0.000825370214183917,0.000792874414457642,0.000752823757105163,0.000704613064456417,0.000648632764098385,0.000678860236375557,0.00071244626835696,0.000743926158015179,2.04652670280459,0.0721907906309906,0.0227015741434842,0.00840545418201716,0.000996335199821577,0.000624159279405933,0.467215784,0.00753542590192,0.00041353044834892,0.072110357494059,0.00314348582442444,0.000310254593647081,0.000468169107951498,7.42735840905971e-07,2.01328490193922e-08,0.00263587693072184
RSN3_HUMBOLT_FRN225,0.541563524070159,1.02127217336285,1.7705133233606,0.940629421684071,1.02813291953986,1.14849149666896,0.40086154308868,0.533311425169355,0.412957803721394,0.338258570359004,0.382723317916918,0.280926680017838,0.273188382220232,0.294300148373474,0.212439829852599,0.207343254747898,0.170583181166188,0.107875054733994,0.0938598470583546,0.067240057467234,0.0669956439709994,0.0704701532305175,0.0755682262096614,0.0715520485560767,0.0717096630498452,0.0815649854685491,0.0578183803563768,0.0485581054070053,0.0351758026375586,0.0300085489517781,0.00669647787044344,0.0269640201587369,0.0840669082072292,0.062110075744671,0.0792035179566978,0.111306201514831,0.0632048174783111,0.0746043769974173,0.0592453283075508,0.0573935061042646,0.0756000436304897,0.061270384761078,0.0620490980279473,0.067919271344733,0.0571820170072071,0.0545270252038422,0.0491377882681284,0.0364940932081606,0.0324322730544229,0.0306118296269506,0.030316451420689,0.0307644257767832,0.0313832504662018,0.0318479509557428,0.0320404247987461,0.0336159760165301,0.0316592567364139,0.0312171925664438,0.0307006343605671,0.0301629180893641,0.000137393963545484,0.00103254355014549,0.00402789316199971,0.00381061525521761,0.00650551017709405,0.0104656997540005,0.00497402486435166,0.00864500355218174,0.00845733473817339,0.00857073691124775,0.0117335663288469,0.0102227167516477,0.0116681871256913,0.0145788541443461,0.0120755301984976,0.0134593271772408,0.0125055819532878,0.0088753734490741,0.00853785183957423,0.00676364222325997,0.00745409143089996,0.00858024842414499,0.0100612899610239,0.0104629964672444,0.0112731878206994,0.013887023609668,0.0105939388778881,0.0095499590212026,0.00739651549059318,0.00692265431117986,1.94932309669149,0.368704695548916,0.111306201514831,0.0476149439452529,0.015268707449488,0.00861072539980817,0.355877788,0.023673919308571,0.00344157428774048,0.382676717943677,0.0181378287009186,0.00317421267855299,0.000798412205188548,2.83453268870286e-06,2.05867333419076e-07,0.00587243628458408
RSN4_IMPVALL.BG_B-ELC000,0.608280618180043,0.668887624481639,0.264381181104435,0.446452242726291,0.251848136953578,0.150334481311894,0.109188120541807,0.131640440473778,0.083966419057371,0.0636746637964488,0.0538492647762501,0.0537148805360526,0.0411153583012083,0.0405160449000879,0.0261083324760818,0.0149986616607855,0.0113042103412995,0.00950908888635989,0.00998312676090356,0.0102428728261211,0.00966730857182327,0.00976010997460343,0.00870292089401623,0.00827446267981806,0.00730487717939754,0.00604693042746175,0.00477130700040185,0.00446461092922161,0.00398199176975202,0.00339477938556586,0.00927536115595203,0.0217088329172404,0.0144288777155325,0.0279412514344856,0.0206935599003172,0.0159538539040921,0.0144418944897719,0.0182054607449592,0.0139365567569782,0.0131339222697584,0.0124576489503936,0.0104984431916915,0.0121327358263624,0.0114780870502374,0.00939337187114953,0.00766358871590122,0.0067822569226309,0.00669893430262646,0.00685234454252329,0.00737328802708009,0.00748558863084696,0.00719219657687655,0.00716166495516093,0.00723603431443914,0.00661286828261639,0.0060057071981984,0.00591764527085187,0.00570747906772992,0.00581940860644498,0.0061878833662608,0.000153149555644264,0.000677619554888899,0.00059796657302034,0.00179917597134423,0.00160577097611976,0.00138772134397852,0.00132853773394353,0.00210200854944697,0.0017631642993251,0.00164703898931672,0.00171087335961899,0.00188033497567309,0.0018456029905292,0.00211046423892006,0.00160004600727752,0.000983266124019986,0.000975615345153795,0.000943373803827406,0.00109582574795988,0.00117414229845538,0.00123388543146952,0.00144381329893989,0.00117935996374342,0.00130010351210492,0.00117164672245615,0.0011685172999129,0.00124793953334027,0.00127956714031778,0.00126895679435731,0.00123082234355597,0.925436961441482,0.107473252157143,0.0398885643950082,0.0109101296022253,0.00292155695627107,0.0013442371604791,0.146476386,0.005527590633831,0.00055816151442961,0.136211203443399,0.00350396475036859,0.000524999544835325,0.00189724875051246,1.03586879865346e-06,3.04511241534714e-09,0.000709614362532151
RSN5_NWCALIF.AB_A-FRN045,2.15917993229169,3.8394529406474,4.36323627833202,3.10649888960842,3.47634196239283,1.49825689168281,1.39990375420239,1.12808841838202,1.19856706835856,1.36772042989796,0.551847310233251,0.412385265182248,0.356578879156865,0.320430484256377,0.284032450977743,0.226535833473922,0.193145847362657,0.170324079121616,0.13097822467563,0.123381620278462,0.0943099382382694,0.0797717163339584,0.0694080219622058,0.0624504543919607,0.053323247288013,0.0494940951206559,0.0519151012372664,0.0466088147793169,0.0404303597331402,0.0367125715174855,0.0280783136259905,0.118107238555216,0.199911118787689,0.198478136438051,0.288528807451246,0.169897261588,0.153244819965498,0.149824187064493,0.178279546677429,0.230099617001497,0.108978397705687,0.103981781848374,0.102738360931102,0.0871465414649011,0.08864372347497,0.0877789818535261,0.0856279358355832,0.0827818941520511,0.0797579274215802,0.0782076937562461,0.076915910320534,0.075703029117427,0.0745829655302749,0.0735609479589263,0.0726364677154731,0.0718054528330349,0.0710617988723314,0.070398407545028,0.0698078663975032,0.0692828754243973,0.000546761812792577,0.00388936720417435,0.00992925061966618,0.012570233269085,0.0220057076006935,0.0136511830483782,0.0173615500745746,0.0182720569340822,0.0245716361466042,0.0346130275993972,0.0168910968226466,0.0150229781499968,0.0152466767346306,0.0158820983038198,0.0161718503861421,0.0146616101314161,0.0141075238253045,0.0139471922672838,0.011953709892995,0.0124719515102879,0.0105119273380995,0.0097549396891048,0.00928738992937094,0.00910197658565673,0.00842819703036489,0.0084369073972016,0.00954275052805185,0.00920865284685669,0.00855805937992828,0.00831791279096434,4.93729536206393,0.920790205556589,0.316766694175393,0.110887247846649,0.0348665791414928,0.0132098437436824,1.47069482,0.0649873546004389,0.00491676841444993,1.09174869322109,0.0381629937405589,0.00281930905684946,0.0109146862985339,1.04809516243071e-05,2.00956368261342e-06,0.018765427612179
RSN6_IMPVALL.I_I-ELC180,6.66176838505771,8.84610233554242,7.70841503877265,7.59839687876654,7.61264906920123,5.94063334403801,8.78071907619343,6.27002559594846,6.78477707540305,5.90339024333438,4.55896569985991,4.23125718886699,3.23975514771482,2.61187570339307,1.83155638965867,1.98490371415226,2.36286732505965,2.60693546735372,2.57076253453647,2.33150446768584,2.25442418779559,2.13116392114026,2.03208770565226,1.88435051892075,1.71470591449233,1.54199728445393,1.5716531349184,1.69376775645053,1.58694250845972,1.47375192029772,0.0856620149673893,0.260084241940639,0.358806893458442,0.426321476940714,0.533556482224944,0.56057515950908,0.977550092168617,0.788032124803473,1.01922986822345,1.07575839957914,0.757401256674891,0.772616840763446,0.683260811034103,0.609679215439765,0.566072529276306,0.553772821889583,0.64222934643096,0.776796025328322,0.773462205212134,0.943297785546145,0.772656322002103,0.756465563021215,0.741506143089198,0.731941316170603,0.765101726569754,0.781792158994266,0.773050697096232,0.755234578389468,0.793731153631415,0.743936061007575,0.00168978835240236,0.00899567367338592,0.0175106734542039,0.0307299509081748,0.0481117148100243,0.0542606828726566,0.108970648958454,0.101655827261986,0.139293712548416,0.149617866609707,0.139835426367167,0.154552240676972,0.138987675892331,0.130033268176654,0.104814182754684,0.129183698971647,0.173527210933127,0.212897879486211,0.235729040890556,0.237041603166417,0.252674269764122,0.259747026354466,0.270617042643898,0.27317053835969,0.269689266774902,0.262104585254287,0.288190807119775,0.334001677479045,0.338026988097439,0.337959002545541,11.4923377927702,4.05822306045028,1.0947540457727,0.68499984873109,0.342257973191457,0.16876929489326,2.7517959,0.30999970050196,0.0863220298654624,2.71820613285334,0.240528506410119,0.0834793931961036,0.358474240587751,0.00540890959339757,6.12476459164384e-05,0.107163177480441
RSN7_NWCALIF.C_C-FRN045,0.72230742379004,1.77046592282704,1.91340203367207,0.901752697528225,1.36140929623985,2.0670426356131,0.676428641315281,0.694376540574616,0.704189865516092,0.312964157426113,0.320050552298891,0.354347910295934,0.345914654611767,0.319970787096913,0.284053102819852,0.276874016143512,0.24653694722328,0.193110444912507,0.159131230545673,0.155752914684003,0.153197341503221,0.212779550042547,0.229376830149879,0.16187890296354,0.113968628548781,0.111809693195125,0.101458007606866,0.0878343522927027,0.0977495329314875,0.0979549429141274,0.00687703418761638,0.051019039225222,0.0864160960205174,0.0547759687795495,0.104873938428738,0.202577129819999,0.0821097483036921,0.107988058159734,0.107034802970535,0.0645061365496587,0.0572338264470503,0.0785128581197438,0.0930372606200704,0.0880113248415905,0.0791888751399566,0.0852491362522837,0.0903419957038438,0.0932564730195414,0.0929730280228488,0.0895269321577088,0.0837889681610037,0.0769183305468008,0.0823653407747754,0.0688164850792574,0.0584868358837859,0.0545602430458831,0.0518275293605241,0.0501182101855746,0.0510656295139668,0.057634122095621,0.000182972304425545,0.00178940061709007,0.00435618794622308,0.00364385612317627,0.00860249944347362,0.0188206192666178,0.00836594526973587,0.0112745296524735,0.0143903164427452,0.00796133454571564,0.00984840251724028,0.0128301842455068,0.0148625491140843,0.0159552807786296,0.0162753817375204,0.0180488345056284,0.0181628088262448,0.0159819412532484,0.0146988910671798,0.0159326425356166,0.0172985474290812,0.0258379090950909,0.0309520967857899,0.0238659531785019,0.0182957272207242,0.0194082949094708,0.0190135479351546,0.0177597584699175,0.0211838493574847,0.0224271517452821,2.99041596424279,0.55262287750953,0.20542628647618,0.0796877644825105,0.0309520967857899,0.0147031590299918,0.618052582,0.037845752533155,0.0163011972253028,0.50333366975843,0.0314001764087972,0.00755923455786295,0.00511626990136015,9.23957176447796e-06,1.16617880772893e-07,0.00666117210537168
RSN8_NCALIF.FH_F-FRN225,1.54941055686509,3.92834654129179,4.26398465685561,4.10087033545429,1.55712791264759,3.02767082075713,1.98448434715151,0.903913978548901,0.76243735628728,0.818016094174872,0.461198346823875,0.33099644153119,0.339394837066508,0.282861520114062,0.201151870997987,0.149675334733809,0.117415218328758,0.134460000350184,0.190513685109796,0.158568207816927,0.179313633648247,0.199983304718394,0.177957133557134,0.126158959067446,0.0932599296702135,0.0836611138300131,0.08121023343813,0.080558734941169,0.0773071020659435,0.0711436517138088,0.0164405653546819,0.123704425426891,0.192426554860681,0.252363277039121,0.117862409473963,0.286056022045005,0.237299286921306,0.131689325001604,0.127340357822742,0.129536467321962,0.0850194488884705,0.0828494296054026,0.0839721452900865,0.0815551123577776,0.0871598073281722,0.0939380002599228,0.0918304204148922,0.0903749418687811,0.0888013209744851,0.0823528129196153,0.0716518324356128,0.0715689649543478,0.0735682316557413,0.0656130806767918,0.0634422862506259,0.0623173016792169,0.0621747146480393,0.0639731733875974,0.064686403312209,0.0646078598453322,0.000391812714853646,0.00397857322354739,0.00972178182882632,0.0166099518549487,0.0098555258401858,0.0275866196473584,0.0246042730076667,0.0146355843750427,0.0156246414110503,0.0207045458433609,0.0141206009380687,0.0120551983267715,0.0145195336411692,0.0140350281043243,0.0114084630123598,0.00964772162094454,0.0085819745146538,0.0110212099644365,0.0173970263623624,0.0160467189332327,0.0199882700766041,0.0244905949378011,0.0238280721498352,0.0183932004962481,0.0147523100870743,0.0143033317798621,0.0149674692050204,0.0159668647195642,0.0164318339269182,0.0161894266878245,5.06352158795116,0.861924366753085,0.315981147386719,0.101239000443877,0.032553746471566,0.0144804665358128,1.12462742,0.059491138658567,0.0069798537728417,1.03799884460377,0.0346044392250406,0.0049427342891507,0.0042109018734479,2.70518473245473e-05,1.21322513260465e-06,0.0247246526422357
RSN9_BORREGO_B-ELC000,1.48549226579324,2.40177524149192,2.16377429223445,1.81324071179301,2.22510362847492,1.04908068444635,0.915804871493659,1.56814634560279,0.647989680325592,0.627660064537813,0.51781227218857,0.730436713834538,1.11274375015188,1.18677131858537,1.01616856746116,0.571635825384712,0.531416089840134,0.628359754769512,0.675086333899119,0.645850286093647,0.3889234192984,0.360747839595405,0.356840689737115,0.256892208497203,0.193048187961715,0.175783920327924,0.203786319092264,0.211363026676963,0.195920716015077,0.153816823954816,0.0189371234345932,0.0772064548179119,0.100136549567175,0.112963570897322,0.183951545291785,0.105007573657332,0.099862540228976,0.18798508137625,0.0839839755674126,0.102110561056685,0.0890062051498694,0.128095035812995,0.227396221420585,0.257944099441678,0.237749354583424,0.149773439710615,0.156745674531477,0.179221727001161,0.214708666165924,0.21049249319152,0.133123104960607,0.124234495188064,0.144672667472314,0.104182871651029,0.105393755294748,0.0849189561389653,0.0994200339079727,0.0968619766500749,0.104573126944003,0.0857708213719045,0.000374977524225005,0.00243154541300997,0.00493373319121928,0.00735559425186471,0.014096466233791,0.0095371695635968,0.0113329954905304,0.0254360325812968,0.0133302825815276,0.0159395830424649,0.0159222569461956,0.0266991575256985,0.0475066932583124,0.058983413978529,0.0579898096628327,0.0368968296272695,0.0387118510538564,0.0517037890773798,0.0614804597068789,0.0652983766160475,0.0431698019947448,0.0439282721241926,0.0480643703465899,0.0371157565484879,0.0302020546094759,0.030254250575104,0.0379938172743454,0.042344469991938,0.042161245740026,0.0345210928917245,3.0115266032751,0.843903172080684,0.280038476472469,0.132767305580216,0.0682643745890394,0.0315082168317786,0.646065882,0.0619801037043999,0.0436756194298875,0.60967171257143,0.0485444890294265,0.0144640013839001,0.00517731265264194,3.67787291168103e-05,2.38471546917837e-06,0.019542495089826
RSN10_IMPVALL.BG_C-ELC000,0.518270476597085,0.861598356071765,0.773757575603276,1.04893345291432,1.18083048413241,0.983499303244375,0.624416043899145,0.795006433397977,0.77338606714421,0.374502149176235,0.447233390686896,0.372026926914641,0.201641626559074,0.156398713588648,0.13753114884617,0.192255233449638,0.198574370085224,0.231901614220214,0.296479205957653,0.210267808265736,0.140966819763131,0.102833948995461,0.0713134756565305,0.0665583723036928,0.0667983949847187,0.0741293510862931,0.0676667305090796,0.0794696977709743,0.0778772893098686,0.0655832829072785,0.00614630123722037,0.0271723380502613,0.0357752435647883,0.0651165718100746,0.0917891731852405,0.0924894537375479,0.0721334547596571,0.108522372349523,0.116840018538791,0.0657350717965406,0.0791171222368784,0.0772581982572164,0.0549283667390786,0.0485814625151595,0.0475213761222558,0.0639207918345732,0.0581386584083155,0.0747994279760122,0.0874513958840082,0.0700069338134598,0.0509016991948929,0.0448117588373544,0.0360938711648556,0.0334363099587788,0.0372893223999767,0.0454668932538053,0.053597911227678,0.0546549354901132,0.0479217984714595,0.0515932832884395,0.000130868074581288,0.000873283476270102,0.00176127839004409,0.0042517908662887,0.00746956486755294,0.00895804147755664,0.00774955418542645,0.0128842178130211,0.015843766072134,0.0094894037406309,0.0137078769482618,0.0135717000729184,0.00860072040860246,0.00773515225366983,0.00785776215143467,0.0124261725659349,0.0145600045897373,0.0189787871205926,0.0271328560606775,0.02133278829219,0.0156800338190232,0.0125324989864633,0.0096009549423332,0.0097591850500983,0.010490368571263,0.0125870561216719,0.0124851260141095,0.0158419330201209,0.0166552903692247,0.0150463139753864,1.29652015483809,0.381468483850245,0.116840018538791,0.0588548247618088,0.0271328560606775,0.0112982505983056,0.300911744,0.027257040314532,0.00434067864100857,0.28780696088676,0.0228900597896626,0.00356893147427953,0.00291355887343173,6.93439570619828e-05,3.79241772892129e-06,0.00430332365888015
RSN11_NWCALIF.AB_B-FRN224,2.17500996604955,4.38642311994728,2.53087838115057,2.97292190703453,1.49959351152035,1.60919308985678,1.87783936929954,1.04344632250013,0.845866133380861,0.667696005839264,0.646301239370609,0.513173580394885,0.406233256193971,0.598968265827568,0.577562882781791,0.382087245990344,0.393532709986417,0.295391762012793,0.17927972471884,0.199961104637288,0.183415025830686,0.159698033420551,0.111213733132099,0.0916141792174314,0.0890594085906063,0.0843163660533733,0.0781394353688804,0.0711577295887111,0.063897930028088,0.0586382227953455,0.027993048766612,0.137306006152421,0.114552498378801,0.197857529785703,0.120493710893763,0.161873577917021,0.22276107503558,0.148003312618613,0.123046024803312,0.118873392220319,0.115045720781254,0.108103918914874,0.0824640051890686,0.138680131367179,0.137244777107748,0.104662547417852,0.114152362418388,0.0991397250096853,0.0757274064284651,0.0803410446747409,0.0777051940451253,0.0756120148892905,0.072101594794297,0.0677299075832038,0.0629731537368224,0.0582343435984172,0.054827969382308,0.0568642756186595,0.0582615626771891,0.0591011287090443,0.000552284233743804,0.0044351290612391,0.00577614767326321,0.0120296705657814,0.00950951158458862,0.0146854001939312,0.0232537891974786,0.0169467614609753,0.0174005615662335,0.0168219612644886,0.0196986370701129,0.0188142123730928,0.0174775242368152,0.0298619579130147,0.0330572746314977,0.0249460105351773,0.0285593704148765,0.0239747711318617,0.0161040605287825,0.019937986879625,0.0207988120109302,0.0199110738729253,0.0152864516910483,0.0137310854552931,0.0144858592551036,0.0148481711124574,0.014867106932376,0.0146020958727249,0.0141144764662441,0.0134650747450585,4.73974222658472,0.827019004429235,0.24426225224766,0.100982518312798,0.0341445033664095,0.016800156696321,1.05819714,0.0465726015097,0.00534604074071408,0.845196176097878,0.0341643660149894,0.00456775322570599,0.0126528917009945,4.70723163897696e-05,4.27739914810027e-06,0.0121888048037226
RSN12_KERN.PEL_PEL090,0.681961654900095,1.32608962266208,1.69850566528248,1.73763987860267,1.8122269645114,1.17105787752292,1.3309131487155,1.90319987388654,1.4939086505632,1.65249101362552,0.938163910747572,1.13225874452985,1.35757120325203,1.28979810775008,1.39079340190911,1.02008713548511,0.648561535337058,0.434821617518081,0.46820738743033,0.521044171776191,0.679742564894283,0.616085883275596,0.747710480928094,0.844687958100337,0.884482498203305,0.658592565322634,0.536740985478363,0.593883058669276,0.629473582634293,0.642689053180758,0.0078580783444234,0.0351580846201021,0.0667786985384125,0.104183660935394,0.140840061078763,0.113939060783,0.138487289398381,0.233920686729182,0.193330149919782,0.269091545615463,0.16898974546026,0.212500003080587,0.270140934964257,0.280987456184125,0.364858710110452,0.297341299734097,0.179469283008272,0.163535474701078,0.174319125180226,0.18439647413647,0.219104411781545,0.24913855434008,0.298661562738854,0.317322011169155,0.333528143269957,0.308617554327645,0.259720433179516,0.270031925908207,0.282237368309927,0.283137507540321,0.000173023318922263,0.00134140329830526,0.00386522443881899,0.00703254166203643,0.011479208292491,0.010655151290258,0.0165274498401662,0.0308006389363741,0.0306632379853151,0.0417822226136145,0.0286747455362801,0.0411976079031059,0.0579986625786292,0.0640778512672484,0.0790866188646071,0.0659804748061123,0.0475634053308765,0.0355074512583409,0.0426197695382813,0.0525736550865434,0.0760703564771438,0.0756817583649406,0.100330053407129,0.123424426998156,0.139621099926047,0.112983773648509,0.0987091625231862,0.11748551022299,0.133582952341794,0.145934936257087,2.3006632740579,1.03010444105537,0.365093277023539,0.209772751052216,0.145934936257087,0.057233480399896,0.41383538,0.0861794147833529,0.0472906035921136,0.464442619062401,0.0705817122311635,0.0522372099101221,0.00185868846250132,2.99482002025604e-05,0.000183351838660788,0.0365993955385533
RSN13_KERN_PAS180,0.617432376725465,0.801346250712621,1.2589662452033,1.43299833911047,1.79849063459832,1.86186005621826,1.86648622824652,1.04618436043644,1.56093946985829,1.13314371228798,0.940611910253794,1.02447165366783,1.04338491115618,0.851224971477147,0.628460280007772,0.803663690818408,0.774521035181257,0.893452874703959,0.881739548013582,0.857783434131515,0.634754175719364,0.481231194157272,0.428723117560773,0.384084969647988,0.393900666405945,0.460039159570274,0.491320751677567,0.449949093407254,0.40243641814707,0.353450777226472,0.00389722562164574,0.0194144527694188,0.0554660129800549,0.0751585404371022,0.121692782049235,0.173497657246234,0.213950852609276,0.141500427366805,0.218324698900483,0.173943885852094,0.166020506801101,0.202265066760279,0.204219237977409,0.181937111491929,0.159494940646101,0.212039203128747,0.212641660255496,0.248652016880586,0.292075897640854,0.272636420378849,0.235931397680456,0.189645998946857,0.165626049528128,0.146097100421509,0.182454731631993,0.197948582887583,0.215243729293939,0.237068204333625,0.209663738133473,0.207588365950074,0.000156557182181007,0.000810102127475147,0.0028647636329281,0.00580976847281185,0.0113961959706803,0.0169488617446594,0.023138078856017,0.0169488975641198,0.0320078719579061,0.0286711086030771,0.0288100468604235,0.0373433044081912,0.0446255779269292,0.0422260142949778,0.0357769590212329,0.0520722968056205,0.0566575105019376,0.0732543289334904,0.0805743662305275,0.0868359147422963,0.0708359179757969,0.058941652722477,0.0573893834640959,0.0559718839198295,0.0623095720798207,0.0786736021467171,0.0906037610867636,0.0892617317033398,0.0856720411555889,0.0804664891049905,2.55550711478121,0.902990905296929,0.296195937459452,0.176904269792522,0.0922297606582708,0.0457663484739608,0.470200276,0.0587146379055209,0.0181516618174216,0.360074973391491,0.0589323326690266,0.02175670180918,0.000820740958230843,9.57695266478717e-06,1.19234590990761e-06,0.0313404042475744
RSN14_KERN_SBA042,0.976224277622663,2.00532896065851,2.26042917243703,3.86239752193713,4.7285597789618,2.78551447010949,2.52759501256442,2.85461636019717,2.24076267222377,2.45264575300597,2.45821771522324,2.31101534571441,2.64942331334834,2.75249965371523,2.4325427895773,1.9543166173514,1.79017252394975,1.26861559304835,1.15638550922115,0.896284549691036,0.920204575832974,0.894865418327081,0.820653074824127,0.954634480240828,0.919074785785302,0.772305156809317,0.607232348050783,0.444089066907709,0.382251363064657,0.336679804243206,0.00636772192387785,0.0484350184965521,0.107592645312938,0.243730192325214,0.374901511174008,0.275284473587253,0.288076877524421,0.36143999821587,0.334372091519847,0.380837207845994,0.429819850079495,0.421213474102884,0.548093624411391,0.63579410454073,0.58869215228016,0.534199629870419,0.478791959077942,0.471841441110056,0.352893482456118,0.299589537970302,0.317155166287714,0.317506968085785,0.321928943694357,0.396875801227028,0.414458621100456,0.340952152825533,0.286079317577581,0.259566939342751,0.23135792205105,0.211918475213406,0.000247529863237727,0.00202757793739783,0.00515809533730576,0.0156542209813715,0.0299752142731437,0.0253694216413075,0.0313742884328691,0.0462401869646375,0.0459217517911338,0.0621032209862065,0.0752525915648885,0.0842093722789153,0.113357665568976,0.136587823917327,0.138603284076942,0.126714464776596,0.1309901165986,0.10414736679209,0.105765285957887,0.0908539361832682,0.102798281636532,0.109752932361285,0.109667883540087,0.138975563547867,0.145185158424172,0.132271307449231,0.111719285886315,0.0883692988423083,0.0816049276415348,0.0769298165507779,4.91563290856018,1.75317160916733,0.669975811615299,0.335010819968448,0.149526231969987,0.0808645762694017,0.878959648,0.114061420496828,0.0343202919701856,0.765271287959443,0.14102403019116,0.0260899712383981,0.00450881159909242,6.61611180883254e-05,1.31173442719899e-05,0.0741796739891279
